"groep_100","groep_titel","soort_id","euring_code","soort_naam","msi_variant"
700,"Bosrandvogels",237,16530,"Putter","volledig"
700,"Bosrandvogels",172,11390,"Roodborsttapuit","volledig"
700,"Bosrandvogels",245,16790,"Roodmus","volledig"
700,"Bosrandvogels",190,12590,"Spotvogel","volledig"
700,"Bosrandvogels",194,12760,"Tuinfluiter","volledig"
700,"Bosrandvogels",226,15671,"Zwarte Kraai","volledig"
800,"Bosvogels",248,17170,"Appelvink","volledig"
800,"Bosvogels",215,14790,"Boomklever","volledig"
800,"Bosvogels",217,14870,"Boomkruiper","volledig"
800,"Bosvogels",66,3100,"Boomvalk","volledig"
800,"Bosvogels",131,7610,"Bosuil","volledig"
800,"Bosvogels",62,2870,"Buizerd","volledig"
800,"Bosvogels",197,13080,"Fluiter","volledig"
800,"Bosvogels",222,15390,"Gaai","volledig"
800,"Bosvogels",170,11220,"Gekraagde Roodstaart","volledig"
800,"Bosvogels",208,14400,"Glanskop","volledig"
800,"Bosvogels",201,13140,"Goudhaan","volledig"
800,"Bosvogels",203,13350,"Grauwe Vliegenvanger","volledig"
800,"Bosvogels",142,8560,"Groene Specht","volledig"
800,"Bosvogels",144,8760,"Grote Bonte Specht","volledig"
800,"Bosvogels",179,12020,"Grote Lijster","volledig"
800,"Bosvogels",126,7120,"Halsbandparkiet","volledig"
800,"Bosvogels",60,2670,"Havik","volledig"
800,"Bosvogels",122,6680,"Holenduif","volledig"
800,"Bosvogels",123,6700,"Houtduif","volledig"
800,"Bosvogels",94,5290,"Houtsnip","volledig"
800,"Bosvogels",224,15600,"Kauw","volledig"
800,"Bosvogels",146,8870,"Kleine Bonte Specht","volledig"
800,"Bosvogels",214,14640,"Koolmees","volledig"
800,"Bosvogels",243,16660,"Kruisbek","volledig"
800,"Bosvogels",210,14540,"Kuifmees","volledig"
800,"Bosvogels",213,14620,"Pimpelmees","volledig"
800,"Bosvogels",132,7670,"Ransuil","volledig"
800,"Bosvogels",232,15980,"Ringmus","volledig"
800,"Bosvogels",238,16540,"Sijs","volledig"
800,"Bosvogels",67,3200,"Slechtvalk","volledig"
800,"Bosvogels",61,2690,"Sperwer","volledig"
800,"Bosvogels",229,15820,"Spreeuw","volledig"
800,"Bosvogels",198,13110,"Tjiftjaf","volledig"
800,"Bosvogels",64,3040,"Torenvalk","volledig"
800,"Bosvogels",233,16360,"Vink","volledig"
800,"Bosvogels",202,13150,"Vuurgoudhaan","volledig"
800,"Bosvogels",53,2310,"Wespendief","volledig"
800,"Bosvogels",218,15080,"Wielewaal","volledig"
800,"Bosvogels",212,14610,"Zwarte Mees","volledig"
800,"Bosvogels",143,8630,"Zwarte Specht","volledig"
