"groep_100","jaar","groep_titel","log_index","n_soorten","msi","msi_variant","periode","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
200,1990,"Rietvogels",6.86352286483063,6,956.731573674562,"robuust","1984-2025","post",6.86352286483063,6.82267660946373,0.081937821638476,918.440028324605,782.174983086976,1078.44421500132
200,1991,"Rietvogels",6.3875148474538,6,594.377623668664,"robuust","1984-2025","post",6.3875148474538,6.88360923161837,0.0812135621664148,976.143136215212,832.497858744153,1144.57402186893
200,1992,"Rietvogels",6.73660696560498,6,842.696581026973,"robuust","1984-2025","post",6.73660696560498,6.93988644150719,0.0804776218564219,1032.65294179018,881.96317432452,1209.08914253095
200,1993,"Rietvogels",7.12090791009423,6,1237.57352905296,"robuust","1984-2025","post",7.12090791009423,6.98971608027805,0.0798877299705649,1085.41326220237,928.096885240737,1269.39543543366
200,1994,"Rietvogels",7.1751903398426,6,1306.60877703129,"robuust","1984-2025","post",7.1751903398426,7.03136037331037,0.0796055024509215,1131.56891976878,968.098258177206,1322.64283028212
200,1995,"Rietvogels",7.39981393655249,6,1635.68006140962,"robuust","1984-2025","post",7.39981393655249,7.06323417682709,0.0795971321826292,1168.21728390489,999.468659978131,1365.45714444311
200,1996,"Rietvogels",7.26100421328645,6,1423.68550348596,"robuust","1984-2025","post",7.26100421328645,7.08399837680112,0.0796329027738816,1192.72797297935,1020.36724680471,1394.20392214893
200,1997,"Rietvogels",7.01752630854678,6,1116.02250504268,"robuust","1984-2025","post",7.01752630854678,7.09264253330303,0.0794253740086455,1203.08279009466,1029.64442198377,1405.73596954307
200,1998,"Rietvogels",7.06290851930088,6,1167.83690709378,"robuust","1984-2025","post",7.06290851930088,7.08855156357521,0.0787984871793139,1198.17106852269,1026.70151376641,1398.27777615554
200,1999,"Rietvogels",6.97230155765316,6,1066.67494140111,"robuust","1984-2025","post",6.97230155765316,7.07155230934322,0.0777983451704589,1177.97519762624,1011.37649954773,1372.0168175186
200,2000,"Rietvogels",6.95932146762374,6,1052.91887525587,"robuust","1984-2025","post",6.95932146762374,7.0419371548729,0.0767018225325598,1143.60079414441,983.976074977178,1329.12050366474
200,2001,"Rietvogels",6.95448898255401,6,1047.84293509225,"robuust","1984-2025","post",6.95448898255401,7.0004633502748,0.0759139719577138,1097.14140144195,945.460362765941,1273.15676273992
200,2002,"Rietvogels",6.92757065001767,6,1020.01299869697,"robuust","1984-2025","post",6.92757065001767,6.94832823783784,0.0757810233452667,1041.40728681485,897.665435012853,1208.1663108879
200,2003,"Rietvogels",6.89403387096799,6,986.37230140675,"robuust","1984-2025","post",6.89403387096799,6.88712206527852,0.0764004664515817,979.578194543108,843.345863656188,1137.81721186639
200,2004,"Rietvogels",7.00894086677736,6,1106.4819722591,"robuust","1984-2025","post",7.00894086677736,6.81876139450331,0.0775420930538872,914.851168349033,785.860182792279,1065.01471706554
200,2005,"Rietvogels",6.76582128264271,6,867.678524554765,"robuust","1984-2025","post",6.76582128264271,6.74540718992645,0.0787356561507763,850.145226780722,728.571162070118,992.005920965189
