"group_code","groep_titel","soort_id","euring_code","soort_naam","classification","binary_membership","membership_weight","analysis_mode","msi_variant"
"fg_v1_grondbroed","Grondbroeders",170,11220,"Gekraagde Roodstaart","secondary",1,0.5,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",158,10171,"Gele Kwikstaart","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",4,120,"Geoorde Fuut","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",71,3940,"Gewone Fazant","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",156,10110,"Graspieper","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",21,1610,"Grauwe Gans","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",25,1661,"Grote Canadese Gans","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",94,5290,"Houtsnip","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",88,4930,"Kievit","secondary",1,0.5,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",107,5910,"Kleine Mantelmeeuw","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",84,4690,"Kleine Plevier","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",17,1520,"Knobbelzwaan","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",105,5820,"Kokmeeuw","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",34,1820,"Krakeend","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",41,1960,"Krooneend","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",44,2030,"Kuifeend","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",147,9720,"Kuifleeuwerik","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",70,3700,"Kwartel","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",78,4290,"Meerkoet","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",175,11870,"Merel","secondary",1,0.5,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",167,11040,"Nachtegaal","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",135,7780,"Nachtzwaluw","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",171,11370,"Paapje","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",69,3670,"Patrijs","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",132,7670,"Ransuil","secondary",1,0.5,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",251,18770,"Rietgors","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",186,12430,"Rietzanger","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",7,950,"Roerdomp","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",166,10990,"Roodborst","secondary",1,0.5,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",172,11390,"Roodborsttapuit","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",80,4500,"Scholekster","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",40,1940,"Slobeend","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",184,12380,"Snor","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",37,1869,"Soepeend","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",22,1619,"Soepgans","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",182,12360,"Sprinkhaanrietzanger","primary",1,1,"binair","volledig"
"fg_v1_grondbroed","Grondbroeders",42,1980,"Tafeleend","primary",1,1,"binair","volledig"
