"group_code","groep_titel","analysis_mode","msi_variant","weggelaten_soort_id","weggelaten_soort","baseline_trend_pct_per_jaar","loso_trend_pct_per_jaar","verschil_procentpunt","richtingsomslag"
"fg_v1_holenbroed","Holenbroeders","binair","volledig",212,"Zwarte Mees",-2.84040601469201,-2.98968494543752,-0.149278930745511,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",213,"Pimpelmees",-2.84040601469201,-3.08598700249239,-0.245580987800376,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",214,"Koolmees",-2.84040601469201,-2.94725630763978,-0.106850292947769,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",215,"Boomklever",-2.84040601469201,-2.3033928517939,0.537013162898115,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",217,"Boomkruiper",-2.84040601469201,-3.14909302456999,-0.308687009877984,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",224,"Kauw",-2.84040601469201,-2.92563223434733,-0.0852262196553211,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",229,"Spreeuw",-2.84040601469201,-2.87324388346086,-0.0328378687688535,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",231,"Huismus",-2.84040601469201,-2.86381536379594,-0.0234093491039311,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",232,"Ringmus",-2.84040601469201,-2.4880584160356,0.352347598656411,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",8,"Woudaap",-1.41277157013706,-1.37795132218439,0.0348202479526716,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",39,"Zomertaling",-1.41277157013706,-1.55353280591747,-0.140761235780407,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",40,"Slobeend",-1.41277157013706,-1.23028119038394,0.18249037975312,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",53,"Wespendief",-1.41277157013706,-1.40188561623448,0.0108859539025841,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",66,"Boomvalk",-1.41277157013706,-1.29413746009922,0.118634110037841,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",70,"Kwartel",-1.41277157013706,-1.39389172854945,0.0188798415876157,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",84,"Kleine Plevier",-1.41277157013706,-1.49394619266578,-0.0811746225287235,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",93,"Watersnip",-1.41277157013706,-1.41995610106664,-0.0071845309295826,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",98,"Tureluur",-1.41277157013706,-1.47882529270376,-0.0660537225666946,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",116,"Visdief",-1.41277157013706,-1.39669209950373,0.0160794706333345,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",125,"Tortelduif",-1.41277157013706,-1.16586479403565,0.246906776101408,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",127,"Koekoek",-1.41277157013706,-1.55286477221842,-0.140093202081359,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",135,"Nachtzwaluw",-1.41277157013706,-1.35837442536292,0.0543971447741431,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",136,"Gierzwaluw",-1.41277157013706,-1.38858462469419,0.0241869454428723,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",141,"Draaihals",-1.41277157013706,-1.41200129793345,0.00077027220360959,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",151,"Oeverzwaluw",-1.41277157013706,-1.46844781545823,-0.0556762453211679,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",152,"Boerenzwaluw",-1.41277157013706,-1.30097086758545,0.111800702551612,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",155,"Boompieper",-1.41277157013706,-1.44289805117463,-0.0301264810375734,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",158,"Gele Kwikstaart",-1.41277157013706,-1.38185511828232,0.0309164518547456,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",167,"Nachtegaal",-1.41277157013706,-1.4854652215511,-0.0726936514140353,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",168,"Blauwborst",-1.41277157013706,-1.60044950396926,-0.187677933832198,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",170,"Gekraagde Roodstaart",-1.41277157013706,-1.47415615858838,-0.0613845884513187,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",171,"Paapje",-1.41277157013706,-0.978646940542494,0.434124629594568,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",182,"Sprinkhaanrietzanger",-1.41277157013706,-1.47396616813602,-0.0611945979989592,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",184,"Snor",-1.41277157013706,-1.39050215682822,0.0222694133088397,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",186,"Rietzanger",-1.41277157013706,-1.57860452454704,-0.165832954409983,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",187,"Bosrietzanger",-1.41277157013706,-1.54546625811315,-0.132694687976087,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",188,"Kleine Karekiet",-1.41277157013706,-1.58996431147607,-0.177192741339005,FALSE
"fg_v1_lange_trek","Langeafstandstrekkers","binair","volledig",189,"Grote Karekiet",-1.41277157013706,-1.40457346075393,0.00819810938312848,FALSE
