"chart_id","chart_title","soort_naam"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Ekster"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Fitis"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Gekraagde Roodstaart"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Gele Kwikstaart"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Graspieper"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Grauwe Klauwier"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Groene Specht"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Grote Bonte Specht"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Grote Lijster"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Heggenmus"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Holenduif"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Houtsnip"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Huismus"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Kauw"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Kievit"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Kleine Barmsijs"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Kleine Plevier"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Kneu"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Kuifeend"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Merel"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Nachtegaal"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Paapje"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Rietgors"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Roodborst"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Roodborsttapuit"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Scholekster"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Spotvogel"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Sprinkhaanzanger"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Staartmees"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Tapuit"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Tjiftjaf"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Torenvalk"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Tuinfluiter"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Veldleeuwerik"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Vink"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Witte Kwikstaart"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Wulp"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Zanglijster"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Zomertortel"
"functioneel-bodem-insect-gewogen","Bodemfoeragerende insecteneters — gewogen","Zwartkop"
"functioneel-grondbroed-binair","Grondbroeders — binair","Bergeend"
"functioneel-grondbroed-binair","Grondbroeders — binair","Boomleeuwerik"
"functioneel-grondbroed-binair","Grondbroeders — binair","Boompieper"
"functioneel-grondbroed-binair","Grondbroeders — binair","Dodaars"
"functioneel-grondbroed-binair","Grondbroeders — binair","Fitis"
"functioneel-grondbroed-binair","Grondbroeders — binair","Fuut"
"functioneel-grondbroed-binair","Grondbroeders — binair","Gekraagde Roodstaart"
"functioneel-grondbroed-binair","Grondbroeders — binair","Gele Kwikstaart"
"functioneel-grondbroed-binair","Grondbroeders — binair","Geoorde Fuut"
"functioneel-grondbroed-binair","Grondbroeders — binair","Graspieper"
"functioneel-grondbroed-binair","Grondbroeders — binair","Houtsnip"
"functioneel-grondbroed-binair","Grondbroeders — binair","Kievit"
"functioneel-grondbroed-binair","Grondbroeders — binair","Kleine Mantelmeeuw"
"functioneel-grondbroed-binair","Grondbroeders — binair","Kleine Plevier"
"functioneel-grondbroed-binair","Grondbroeders — binair","Knobbelzwaan"
"functioneel-grondbroed-binair","Grondbroeders — binair","Krakeend"
"functioneel-grondbroed-binair","Grondbroeders — binair","Kuifeend"
"functioneel-grondbroed-binair","Grondbroeders — binair","Meerkoet"
"functioneel-grondbroed-binair","Grondbroeders — binair","Merel"
"functioneel-grondbroed-binair","Grondbroeders — binair","Nachtegaal"
"functioneel-grondbroed-binair","Grondbroeders — binair","Paapje"
"functioneel-grondbroed-binair","Grondbroeders — binair","Ransuil"
"functioneel-grondbroed-binair","Grondbroeders — binair","Rietgors"
"functioneel-grondbroed-binair","Grondbroeders — binair","Rietzanger"
"functioneel-grondbroed-binair","Grondbroeders — binair","Roodborst"
"functioneel-grondbroed-binair","Grondbroeders — binair","Roodborsttapuit"
"functioneel-grondbroed-binair","Grondbroeders — binair","Scholekster"
"functioneel-grondbroed-binair","Grondbroeders — binair","Slobeend"
"functioneel-grondbroed-binair","Grondbroeders — binair","Sprinkhaanzanger"
"functioneel-grondbroed-binair","Grondbroeders — binair","Tafeleend"
"functioneel-grondbroed-binair","Grondbroeders — binair","Tjiftjaf"
"functioneel-grondbroed-binair","Grondbroeders — binair","Tureluur"
"functioneel-grondbroed-binair","Grondbroeders — binair","Veldleeuwerik"
"functioneel-grondbroed-binair","Grondbroeders — binair","Waterhoen"
"functioneel-grondbroed-binair","Grondbroeders — binair","Wilde Eend"
"functioneel-grondbroed-binair","Grondbroeders — binair","Wintertaling"
"functioneel-grondbroed-binair","Grondbroeders — binair","Wulp"
"functioneel-grondbroed-binair","Grondbroeders — binair","Zilvermeeuw"
"functioneel-grondbroed-binair","Grondbroeders — binair","Zomertaling"
"functioneel-grondbroed-binair","Grondbroeders — binair","Zwarte Mees"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Bergeend"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Boomleeuwerik"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Boompieper"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Dodaars"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Fitis"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Fuut"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Gekraagde Roodstaart"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Gele Kwikstaart"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Geoorde Fuut"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Graspieper"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Houtsnip"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Kievit"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Kleine Mantelmeeuw"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Kleine Plevier"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Knobbelzwaan"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Krakeend"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Kuifeend"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Meerkoet"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Merel"
"functioneel-grondbroed-gewogen","Grondbroeders — gewogen","Nachtegaal"
