"soort_id","euring_code","soort_naam","engelse_naam","analyse_categorie","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","trend_pct_per_jaar","trend_p","trend_r2","trend_uitleg","trendduiding_type","model"
170,11220,"Gekraagde Roodstaart","redstart","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,2.37287895204545,0.0125313849437237,0.232867855700053,"matige toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
172,11390,"Roodborsttapuit","stonechat","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-0.265599314056164,0.684216604034641,0.00701267561867628,"stabiel","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
173,11460,"Tapuit","Wheatear","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-27.0382680676013,0.000126347736414372,0.784496881132417,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
175,11870,"Merel","blackbird","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.06828336969079,0.042792788886366,0.160145460963603,"lichte afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
177,12000,"Zanglijster","song thrush","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,5.88796162248122,4.26239757355258e-07,0.662385178882034,"sterke toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
179,12020,"Grote Lijster","mistle thrush","trim_bruikbaar",1998,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1998,2022,25,5.65839232059193,0.021908168149759,0.216627774904588,"sterke toename","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
180,12200,"Cetti's Zanger","Cetti's warbler","trim_bruikbaar",2019,"index_100 = eerste analysejaar vanaf eerste positieve jaar",2019,2022,4,38.4342879930607,0.236576078882412,0.582816083334552,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
182,12360,"Sprinkhaanrietzanger","grasshopper warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.92036982528943,0.000349044097965205,0.41927717051822,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
186,12430,"Rietzanger","sedge warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.22837970873848,0.209885505260345,0.0646923422530665,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
187,12500,"Bosrietzanger","marsh warbler","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.01640690794893,0.0020167095018864,0.333244159384789,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
