"soort_id","euring_code","soort_naam","brugfactor","brugmethode"
227,15673,"Bonte Kraai",NA,"geen_model"
229,15820,"Spreeuw",2.34820578668754,"1981_1983_naar_1984_1986"
231,15910,"Huismus",1.17931420646082,"1981_1983_naar_1984_1986"
232,15980,"Ringmus",15.4798327472542,"1981_1983_naar_1984_1986"
233,16360,"Vink",0.118924950017019,"1981_1983_naar_1984_1986"
236,16490,"Groenling",5.08622242462669,"1981_1983_naar_1984_1986"
237,16530,"Putter",0.712838989821564,"1981_1983_naar_1984_1986"
238,16540,"Sijs",1,"alleen_post"
239,16600,"Kneu",5.08534690453694,"1981_1983_naar_1984_1986"
240,16630,"Barmsijs",26.5403709617591,"1981_1983_naar_1984_1986"
242,16634,"Kleine Barmsijs",1,"alleen_post"
243,16660,"Kruisbek",1,"alleen_post"
245,16790,"Roodmus",1,"alleen_post"
246,17100,"Goudvink",8.08356596469652,"1981_1983_naar_1984_1986"
248,17170,"Appelvink",1,"alleen_post"
249,18570,"Geelgors",1,"alleen_pre"
251,18770,"Rietgors",92.3355114267563,"1981_1983_naar_1984_1986"
