"soort_id","euring_code","soort_naam","analyse_categorie","basisjaar_index_gebrugged","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","overall_trend_pct_per_jaar","overall_p","overall_r2","overall_uitleg","trend_pre_pct_per_jaar","trend_pre_p","trend_pre_r2","trend_pre_uitleg","trend_post_pct_per_jaar","trend_post_p","trend_post_r2","trend_post_uitleg","trendduiding_type","brugfactor","brugmethode"
169,11210,"Zwarte Roodstaart","brugbare_tijdreeks",1960,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1960,2025,66,-3.81416268535452,9.47479513925008e-12,0.518512820943832,"matige afname",-15.4004125181403,4.82178094860336e-19,0.97460464682902,"sterke afname",0.502206067683875,0.0196581291325946,0.128675805570087,"lichte toename","eigen_trendduiding_op_basis_van_trim_index",0.035724332315678,"1981_1983_naar_1984_1986"
170,11220,"Gekraagde Roodstaart","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-0.196739678532709,0.304336220148277,0.0159786744804539,"stabiel",-1.41632973810258,0.0225210390374765,0.198568511351033,"lichte afname",0.27440730074253,0.533207999037932,0.00978069021144198,"stabiel","eigen_trendduiding_op_basis_van_trim_index",0.601015569560946,"1981_1983_naar_1984_1986"
171,11370,"Paapje","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,67,-24.2931440967214,3.05612473791232e-44,0.965873847573315,"sterke afname",-19.2280317654527,4.37200483689008e-08,0.719871538241208,"sterke afname",-27.0630084362239,1.94004035925103e-23,0.957016244778107,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.00949420245496616,"1981_1983_naar_1984_1986"
172,11390,"Roodborsttapuit","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,1.95144408825905,4.26696350957838e-05,0.225592930489496,"lichte toename",-4.65859248983153,0.00580537931942988,0.27643180020333,"matige afname",5.55460014246947,2.04350439464472e-10,0.640210142149792,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",0.504490082826315,"1981_1983_naar_1984_1986"
173,11460,"Tapuit","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-18.9564426293332,2.05007505812747e-21,0.747753058292535,"sterke afname",5.99584428957436,2.5626337134578e-10,0.816590670325094,"sterke toename",-30.2873318912356,8.2843305408893e-19,0.862128557066021,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",7.51208520992972,"1981_1983_naar_1984_1986"
175,11870,"Merel","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,1.33657867928267,2.39121936021248e-07,0.334575891522665,"lichte toename",6.30659993314908,1.53281336329783e-08,0.742995836782954,"sterke toename",-0.398664224549372,0.17106320115617,0.0463196925811362,"stabiel","eigen_trendduiding_op_basis_van_trim_index",11.3636381865846,"1981_1983_naar_1984_1986"
177,12000,"Zanglijster","brugbare_tijdreeks",1960,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1960,2025,66,3.77485134833626,6.70046219154476e-17,0.666380436942402,"matige toename",9.55822145823546,3.74479280227782e-05,0.545758729575496,"sterke toename",3.92335949026144,8.14885866265885e-11,0.656177806117007,"matige toename","eigen_trendduiding_op_basis_van_trim_index",5.59541312797903,"1981_1983_naar_1984_1986"
179,12020,"Grote Lijster","brugbare_tijdreeks",1959,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1959,2025,66,-3.51794428216243,1.17006066795991e-06,0.318900898403027,"matige afname",-15.655370296074,4.79982157668261e-08,0.765161943049654,"sterke afname",3.6897196341197,6.03418648199225e-11,0.67061232033698,"matige toename","eigen_trendduiding_op_basis_van_trim_index",0.0127119398068446,"1981_1983_naar_1984_1986"
182,12360,"Sprinkhaanrietzanger","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,0.421478251204754,0.214419796458328,0.0232560444448789,"stabiel",-5.20077232058034,0.000547379255240664,0.398187441622711,"sterke afname",-0.291476189110951,0.589411376790201,0.00734602089742516,"stabiel","eigen_trendduiding_op_basis_van_trim_index",0.87762623150279,"1981_1983_naar_1984_1986"
186,12430,"Rietzanger","brugbare_tijdreeks",1959,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1959,2025,67,2.56749110589858,3.73205409402323e-07,0.329895147647802,"matige toename",9.88022093459213,0.000550604805897092,0.411300447030457,"sterke toename",1.66204576136211,0.0111660029155864,0.150378345314159,"lichte toename","eigen_trendduiding_op_basis_van_trim_index",10.4433330640328,"1981_1983_naar_1984_1986"
