"groep_100","groep_titel","soort_id","euring_code","soort_naam","engelse_naam","msi_variant"
600,"Struweelvogels",187,12500,"Bosrietzanger","marsh warbler","volledig"
600,"Struweelvogels",192,12740,"Braamsluiper","lesser whitethroat","volledig"
600,"Struweelvogels",200,13120,"Fitis","willow warbler","volledig"
600,"Struweelvogels",71,3940,"Gewone Fazant","pheasant","volledig"
600,"Struweelvogels",246,17100,"Goudvink","bullfinch","volledig"
600,"Struweelvogels",193,12750,"Grasmus","whitethroat","volledig"
600,"Struweelvogels",165,10840,"Heggenmus","dunnock","volledig"
600,"Struweelvogels",239,16600,"Kneu","common linnet","volledig"
600,"Struweelvogels",209,14420,"Matkop","Willow Tit","volledig"
600,"Struweelvogels",175,11870,"Merel","blackbird","volledig"
600,"Struweelvogels",167,11040,"Nachtegaal","nightingale","volledig"
600,"Struweelvogels",251,18770,"Rietgors","reed bunting","volledig"
600,"Struweelvogels",166,10990,"Roodborst","robin","volledig"
600,"Struweelvogels",172,11390,"Roodborsttapuit","stonechat","volledig"
600,"Struweelvogels",190,12590,"Spotvogel","Icterine Warbler","volledig"
600,"Struweelvogels",182,12360,"Sprinkhaanrietzanger","grasshopper warbler","volledig"
600,"Struweelvogels",207,14370,"Staartmees","long-tailed tit","volledig"
600,"Struweelvogels",125,6870,"Tortelduif","turtle dove","volledig"
600,"Struweelvogels",194,12760,"Tuinfluiter","garden warbler","volledig"
600,"Struweelvogels",164,10660,"Winterkoning","wren","volledig"
600,"Struweelvogels",177,12000,"Zanglijster","song thrush","volledig"
600,"Struweelvogels",195,12770,"Zwartkop","blackcap","volledig"
700,"Bosrandvogels",5,720,"Aalscholver","Cormorant","volledig"
700,"Bosrandvogels",148,9740,"Boomleeuwerik","woodlark","volledig"
700,"Bosrandvogels",155,10090,"Boompieper","tree pipit","volledig"
700,"Bosrandvogels",187,12500,"Bosrietzanger","marsh warbler","volledig"
700,"Bosrandvogels",192,12740,"Braamsluiper","lesser whitethroat","volledig"
700,"Bosrandvogels",180,12200,"Cetti's Zanger","Cetti's warbler","volledig"
700,"Bosrandvogels",223,15490,"Ekster","magpie","volledig"
700,"Bosrandvogels",200,13120,"Fitis","willow warbler","volledig"
700,"Bosrandvogels",170,11220,"Gekraagde Roodstaart","redstart","volledig"
700,"Bosrandvogels",193,12750,"Grasmus","whitethroat","volledig"
700,"Bosrandvogels",142,8560,"Groene Specht","European Green Woodpecker","volledig"
700,"Bosrandvogels",236,16490,"Groenling","greenfinch","volledig"
700,"Bosrandvogels",165,10840,"Heggenmus","dunnock","volledig"
700,"Bosrandvogels",239,16600,"Kneu","common linnet","volledig"
700,"Bosrandvogels",167,11040,"Nachtegaal","nightingale","volledig"
700,"Bosrandvogels",135,7780,"Nachtzwaluw","Nightjar","volledig"
700,"Bosrandvogels",237,16530,"Putter","goldfinch","volledig"
700,"Bosrandvogels",172,11390,"Roodborsttapuit","stonechat","volledig"
700,"Bosrandvogels",190,12590,"Spotvogel","Icterine Warbler","volledig"
700,"Bosrandvogels",194,12760,"Tuinfluiter","garden warbler","volledig"
700,"Bosrandvogels",226,15671,"Zwarte Kraai","carrion crow","volledig"
800,"Bosvogels",248,17170,"Appelvink","hawfinch","volledig"
800,"Bosvogels",215,14790,"Boomklever","nuthatch","volledig"
800,"Bosvogels",217,14870,"Boomkruiper","short-toed treecreeper","volledig"
800,"Bosvogels",66,3100,"Boomvalk","hobby","volledig"
800,"Bosvogels",131,7610,"Bosuil","tawny owl","volledig"
800,"Bosvogels",62,2870,"Buizerd","buzzard","volledig"
800,"Bosvogels",197,13080,"Fluiter","Wood Warbler","volledig"
800,"Bosvogels",222,15390,"Gaai","jay","volledig"
