plot_id,jaar,habitat_id,aandeel_m2
3504,2014,3.0,79283.4506315694
3504,2014,4.0,14985.11044963797
3504,2014,5.0,41844.7967657024
3504,2014,6.0,70678.19663479971
3504,2014,13.0,1399.0645900495072
3504,2014,7.0,585.5625008393308
3504,2014,11.0,11125.772715606052
3505,2014,2.0,892.005148112205
3505,2014,3.0,51452.50970544479
3505,2014,4.0,10610.41700216074
3505,2014,5.0,53370.87133914505
3505,2014,6.0,85268.48806358084
3505,2014,13.0,7744.944521612984
3505,2014,7.0,511.5657609919375
3505,2014,11.0,1689.5863516430757
3506,2014,1.0,824.0626719202561
3506,2014,2.0,34445.72142686749
3506,2014,3.0,218071.47060993031
3506,2014,4.0,822.6215393528141
3506,2014,5.0,234462.2336642273
3506,2014,8.0,2163.588130921865
3506,2014,9.0,32835.895251831025
3506,2014,10.0,482.38076972818607
3507,2014,3.0,95130.89294049494
3507,2014,4.0,17467.82543559246
3507,2014,5.0,134653.67470615488
3507,2014,6.0,38203.32310630364
3507,2014,7.0,6370.754476017453
3507,2014,11.0,108.73819316037552
3508,2014,2.0,9138.231348862124
3508,2014,3.0,133258.93371910183
3508,2014,4.0,15257.41453066576
3508,2014,5.0,145101.3074795048
3508,2014,6.0,5293.809866451179
3508,2014,11.0,1351.0870941961548
3509,2014,3.0,91136.1726510194
3509,2014,4.0,62761.63292492513
3509,2014,5.0,62436.33294702785
3509,2014,6.0,5616.3834353420925
3509,2014,6.0,104367.50609378592
3509,2014,13.0,4712.282940026637
3509,2014,7.0,383.9680690743986
3510,2014,3.0,42003.347918744446
3510,2014,4.0,120154.62407195492
3510,2014,5.0,78565.46203552092
3510,2014,6.0,94269.85255106229
3510,2014,7.0,2046.172780805216
3511,2014,2.0,2837.1098240175343
3511,2014,3.0,71647.13970856472
3511,2014,4.0,21101.581764724215
3511,2014,5.0,31344.987183089284
3511,2014,6.0,4790.195514789421
3511,2014,9.0,1937.1847340577424
3512,2014,2.0,33129.642807715885
3512,2014,3.0,123804.88707537556
3512,2014,4.0,4438.036636683857
3512,2014,5.0,78096.32510060468
3512,2014,13.0,25550.161149600804
3512,2014,8.0,12356.180018868808
3512,2014,9.0,61039.891287287246
3512,2014,11.0,2603.73081814504
3513,2014,1.0,242.46144444964148
3513,2014,2.0,54134.119594033546
3513,2014,3.0,180386.92178102204
3513,2014,4.0,291.9029112030443
3513,2014,5.0,194902.71775659252
3513,2014,6.0,3981.384033347915
3513,2014,13.0,5538.924142572865
3513,2014,8.0,34545.76447858588
3513,2014,9.0,2169.964186237599
3513,2014,10.0,196.5920129853343
3513,2014,11.0,891.2554305418615
3514,2014,3.0,8567.404931039888
3514,2014,4.0,32319.457310816975
3514,2014,5.0,7734.947350646768
3514,2014,6.0,47432.301866439586
3515,2014,1.0,1884.0670088555992
3515,2014,2.0,21888.291370713945
3515,2014,3.0,114207.9958882953
3515,2014,4.0,844.3932509208453
3515,2014,5.0,35825.24455216947
3516,2014,3.0,32803.95755513655
3516,2014,4.0,90108.75696877993
3516,2014,5.0,97528.41726781672
3516,2014,6.0,201.69398726929504
3516,2014,6.0,76476.19782435209
3517,2014,3.0,15536.024631058906
3517,2014,4.0,62322.05292805675
3517,2014,5.0,23556.602236829727
3517,2014,6.0,86354.05300359179
3517,2014,13.0,1247.3457175501994
3517,2014,7.0,2588.2182586786485
3518,2014,3.0,22495.165584403778
3518,2014,4.0,103458.33558674574
3518,2014,5.0,74029.77020747728
3518,2014,6.0,97153.82540597858
3519,2014,3.0,80024.93870534543
3519,2014,4.0,184157.105578154
3519,2014,5.0,151341.50773344658
3519,2014,6.0,223340.81114925235
3519,2014,13.0,2622.907032768914
3519,2014,7.0,15072.29967958328
3520,2014,3.0,9899.509922448822
3520,2014,4.0,19080.50467244166
3520,2014,5.0,16504.464970426285
3520,2014,6.0,83815.07594456265
3520,2014,13.0,73336.12185238543
3521,2014,3.0,23512.63636226512
3521,2014,4.0,19471.45462608227
3521,2014,5.0,75255.70921138236
3521,2014,6.0,84251.89891018393
3521,2014,13.0,8267.324747592187
3521,2014,11.0,4649.047789525168
3522,2014,3.0,66256.12039123727
3522,2014,4.0,9098.335973185363
3522,2014,5.0,41532.65995266387
3522,2014,6.0,59645.39195012788
3522,2014,13.0,12635.62279433301
3522,2014,8.0,516.7629933143395
3522,2014,11.0,200.9759890877654
3523,2014,2.0,625.8033954868771
3523,2014,3.0,66088.99450330439
3523,2014,4.0,18841.53223659508
3523,2014,5.0,60811.07227759272
3523,2014,6.0,20779.537347325644
3523,2014,13.0,8333.835754683398
3523,2014,9.0,16.51273527339783
3523,2014,11.0,4275.945179936022
3524,2014,2.0,11811.356619111488
3524,2014,3.0,166149.55553587788
3524,2014,4.0,0.6748420191863709
3524,2014,5.0,99436.55494577676
3524,2014,6.0,12920.980135288726
3524,2014,8.0,1825.1715490518504
3524,2014,9.0,5632.053616203325
3524,2014,11.0,109.61996007609656
3525,2014,2.0,10985.133383452196
3525,2014,3.0,145037.367968633
3525,2014,5.0,99122.57324550906
3525,2014,6.0,29439.509879472356
3525,2014,13.0,7042.611460450074
3525,2014,8.0,23902.815975218895
3525,2014,9.0,5427.0157286705735
3525,2014,10.0,649.3479493509287
3525,2014,11.0,2462.3699863474703
3526,2014,3.0,510.6920113387884
3526,2014,4.0,2094.7406711400454
3526,2014,5.0,2972.627743805747
3526,2014,6.0,20562.56099278299
3526,2014,7.0,8145.069315663256
3527,2014,3.0,45202.464309163784
