"maand","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","maandindex","soort_id","soort_naam","modelstatus","weergavetype"
"jan",1081,300,562,1.92348754448399,0.533807829181495,1.6019155917274,1.13204015908545,2.18546566968962,0.595359753968686,0.500687276104327,0.687169484915427,106.488112207577,223,"Ekster","indicatief","modelindex"
"mrt",634,198,451,1.40576496674058,0.439024390243902,1.24807161953314,0.874547512932414,1.70509106848812,0.521162897098083,0.412470221695821,0.620559026494189,82.9661633548507,223,"Ekster","indicatief","modelindex"
"nov",1137,325,570,1.99473684210526,0.570175438596491,1.71437667793332,1.25105634052154,2.350143252912,0.641247031776925,0.539686495064192,0.725863847311697,113.964017198281,223,"Ekster","indicatief","modelindex"
"okt",959,277,547,1.75319926873857,0.506398537477148,1.54759037039935,1.1113312490341,2.14120487751661,0.572903883466868,0.469890106939536,0.669190366756436,102.876816896914,223,"Ekster","indicatief","modelindex"
"sep",683,205,508,1.34448818897638,0.403543307086614,1.1352936920583,0.807255451150134,1.58352569975605,0.462766167171249,0.363294689482088,0.554241979977282,75.4691961878551,223,"Ekster","indicatief","modelindex"
"dec",0,0,563,0,0,,,,,,,,56,"Europese Zeearend","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,56,"Europese Zeearend","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,56,"Europese Zeearend","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,56,"Europese Zeearend","alleen_beschrijvend","beschrijvend"
"nov",1,1,570,0.00175438596491228,0.00175438596491228,,,,,,,,56,"Europese Zeearend","alleen_beschrijvend","beschrijvend"
