"groep_100","jaar","log_index_spliced","msi","periode","n_soorten","density_per_km2","korte_beschrijving","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
200,1990,5.29467642026351,199.27313478467,"1984-2025",6,102.159735908514,"Rietvogels","post",5.29467642026351,5.19203511014911,0.0637807551578173,179.834163107653,158.701460444648,203.780898613152
200,1991,4.95125577183912,141.352358826009,"1984-2025",5,80.980591754085,"Rietvogels","post",4.95125577183912,5.23768054030527,0.0632067925422592,188.232996827886,166.30030611261,213.058303517579
200,1992,5.07972868980196,160.730442204345,"1984-2025",6,91.3415501473347,"Rietvogels","post",5.07972868980196,5.27605319372878,0.0625997445881362,195.596368940353,173.011435649962,221.129542096018
200,1993,5.4774275075665,239.230496473102,"1984-2025",6,96.7241772095884,"Rietvogels","post",5.4774275075665,5.30568838247086,0.062103280059319,201.479649746145,178.388891985943,227.559288080719
200,1994,5.56623939316242,261.449041141278,"1984-2025",6,100.801924984023,"Rietvogels","post",5.56623939316242,5.32535566599467,0.0618595599251194,205.481430227066,182.01897293543,231.968225549424
200,1995,5.57349821322907,263.353757320173,"1984-2025",6,91.9291770528306,"Rietvogels","post",5.57349821322907,5.33415106062249,0.0618489703982567,207.296691763168,183.63077402243,234.012619315676
200,1996,5.32244300352042,204.883802941874,"1984-2025",7,100.003862009611,"Rietvogels","post",5.32244300352042,5.33157154110513,0.0618892459932376,206.762654976158,183.143247335188,233.428183210858
200,1997,5.14970509800414,172.380647423414,"1984-2025",6,76.8265265370084,"Rietvogels","post",5.14970509800414,5.31756588839136,0.0617469814298809,203.886993799184,180.646449755688,230.117482500702
200,1998,5.27445898499496,195.284795922885,"1984-2025",6,72.4951497191154,"Rietvogels","post",5.27445898499496,5.29255763849954,0.0612746679594233,198.851365476983,176.347995373402,224.226339904425
200,1999,5.08990772434275,162.374878113575,"1984-2025",6,66.1561756290906,"Rietvogels","post",5.08990772434275,5.25743794761279,0.0605011150772882,191.988974828882,170.520540577273,216.160272135319
200,2000,5.22553493254177,185.960620311412,"1984-2025",6,65.4187592280351,"Rietvogels","post",5.22553493254177,5.21352844242604,0.0596403616510043,183.741236130208,163.470628760277,206.525429740443
200,2001,5.25115060735279,190.785661601789,"1984-2025",6,76.902194661654,"Rietvogels","post",5.25115060735279,5.16251638944297,0.0590120368568423,174.603273088821,155.532202032205,196.012803618743
200,2002,5.11691850651733,166.820520429811,"1984-2025",6,57.6198949027563,"Rietvogels","post",5.11691850651733,5.1063666076481,0.0588937186110152,165.069501702069,147.073861411527,185.267049703189
200,2003,5.09315844861244,162.903572925606,"1984-2025",6,57.6104683949936,"Rietvogels","post",5.09315844861244,5.04721629492552,0.0593689328905241,155.588747909862,138.497626245672,174.788977489174
200,2004,5.16706967648712,175.400104634732,"1984-2025",6,55.357545049938,"Rietvogels","post",5.16706967648712,4.98726019730563,0.0602615997793617,146.534397673899,130.209860675041,164.905557769084
200,2005,4.88568169611582,132.380677975983,"1984-2025",6,50.2080059755251,"Rietvogels","post",4.88568169611582,4.9286342196422,0.0612030338492553,138.190645324873,122.56926187889,155.802965299523
200,2006,4.87972275984516,131.59417563843,"1984-2025",7,49.1345677605209,"Rietvogels","post",4.87972275984516,4.87330560388702,0.0617881283865701,130.752419020542,115.838950912758,147.585893561823
200,2007,4.90168964168916,134.516873094338,"1984-2025",7,49.748522848102,"Rietvogels","post",4.90168964168916,4.8229771876313,0.0617377865253201,124.334708051779,110.164105918316,140.328099587933
200,2008,4.63398651952632,102.923554106412,"1984-2025",7,33.8834181701873,"Rietvogels","post",4.63398651952632,4.77901205546871,0.0610120749470203,118.986739659369,105.575716619407,134.101331898172
200,2009,4.68793903999678,108.629068778869,"1984-2025",7,39.0907709200688,"Rietvogels","post",4.68793903999678,4.74238321229189,0.059851890203219,114.707247910547,102.010271326472,128.984587062823
200,2010,4.82131437823768,124.128134924742,"1984-2025",7,40.0015448038442,"Rietvogels","post",4.82131437823768,4.7136508840962,0.058731378303892,111.458339476253,99.3389145119262,125.056343728339
200,2011,4.59636988143047,99.123830478154,"1984-2025",7,39.3813658146373,"Rietvogels","post",4.59636988143047,4.69296785908204,0.0581992694273214,109.176720579942,97.4069234727327,122.368676595431
200,2012,4.5429043711037,93.963308513217,"1984-2025",7,36.7456051105081,"Rietvogels","post",4.5429043711037,4.6801111035765,0.0586277681855126,107.782046877085,96.081873593753,120.906984788122
200,2013,4.3360141656706,76.4024043074876,"1984-2025",7,32.0942626914564,"Rietvogels","post",4.3360141656706,4.67453590439021,0.0599907295039963,107.182812474773,95.2927826231927,120.556404942322
200,2014,4.75135682764732,115.741218922416,"1984-2025",7,36.4355156159046,"Rietvogels","post",4.75135682764732,4.67544716405258,0.0618354497421479,107.280528363793,95.0354217429984,121.103390240519
200,2015,4.70966039791456,111.014452763677,"1984-2025",7,38.7994781120238,"Rietvogels","post",4.70966039791456,4.68188133781838,0.0634725912173279,107.9730153267,95.3424416177057,122.276835383402
200,2016,4.77727331739479,118.780032641589,"1984-2025",7,32.4043521860599,"Rietvogels","post",4.77727331739479,4.69279193757992,0.0642512610937416,109.157515736584,96.2413853048684,123.807062876721
200,2017,4.70224136320695,110.193880376916,"1984-2025",7,34.3869884443819,"Rietvogels","post",4.70224136320695,4.7071315727873,0.0638042388624848,110.734071293312,97.71697250807,125.48520723132
