"jaar","groep_100","soort_id","soort_naam","territoria","surveyed_km2","density_per_km2","periode","index_raw","bridge_factor","index_spliced","log_index_spliced"
1985,600,200,"Fitis",753,5.13012052,146.78017739825,"1984-2025",172.814877753599,1.090799001896,188.506296166406,5.23913140774354
1985,700,200,"Fitis",753,5.13012052,146.78017739825,"1984-2025",172.814877753599,1.090799001896,188.506296166406,5.23913140774354
1986,600,200,"Fitis",598,4.23796013,141.105621963461,"1984-2025",166.133814812053,1.090799001896,181.218599378163,5.19970403391603
1986,700,200,"Fitis",598,4.23796013,141.105621963461,"1984-2025",166.133814812053,1.090799001896,181.218599378163,5.19970403391603
1987,600,200,"Fitis",704,5.02247314,140.169988046964,"1984-2025",165.032225593621,1.090799001896,180.016986958198,5.19305121842744
1987,700,200,"Fitis",704,5.02247314,140.169988046964,"1984-2025",165.032225593621,1.090799001896,180.016986958198,5.19305121842744
1988,600,200,"Fitis",671,4.70180252,142.711225566317,"1984-2025",168.024207610772,1.090799001896,183.280637956197,5.21101851891285
1988,700,200,"Fitis",671,4.70180252,142.711225566317,"1984-2025",168.024207610772,1.090799001896,183.280637956197,5.21101851891285
1989,600,200,"Fitis",712,4.70180252,151.43128554876,"1984-2025",178.290962472235,1.090799001896,194.479603911792,5.27032729335314
1989,700,200,"Fitis",712,4.70180252,151.43128554876,"1984-2025",178.290962472235,1.090799001896,194.479603911792,5.27032729335314
1990,600,200,"Fitis",690,4.85514176,142.117374550151,"1984-2025",167.325024024938,1.090799001896,182.517969198628,5.20684862953789
1990,700,200,"Fitis",690,4.85514176,142.117374550151,"1984-2025",167.325024024938,1.090799001896,182.517969198628,5.20684862953789
1991,600,200,"Fitis",608,5.55688703,109.413777303297,"1984-2025",128.820722827756,1.090799001896,140.517515884038,4.94533214921716
1991,700,200,"Fitis",608,5.55688703,109.413777303297,"1984-2025",128.820722827756,1.090799001896,140.517515884038,4.94533214921716
1992,600,200,"Fitis",605,6.1308353,98.681496141317,"1984-2025",116.184834999438,1.090799001896,126.73430205284,4.84209278511955
