"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving"
400,1995,33,6.09164596,5.41725507632751,"1984-2025","Vogels van open heide"
400,1996,44,6.44975091,6.82196888127576,"1984-2025","Vogels van open heide"
400,1997,41,6.09164596,6.7305290342251,"1984-2025","Vogels van open heide"
400,1998,32,5.62796272,5.6858940956169,"1984-2025","Vogels van open heide"
400,1999,31,6.09164596,5.08893658685312,"1984-2025","Vogels van open heide"
400,2000,41,5.70172844,7.19080195267946,"1984-2025","Vogels van open heide"
400,2001,36,6.44975091,5.58161090286198,"1984-2025","Vogels van open heide"
400,2002,38,6.09164596,6.2380513000135,"1984-2025","Vogels van open heide"
400,2003,52,6.2141484,8.36800099592086,"1984-2025","Vogels van open heide"
400,2004,38,6.2141484,6.11507765086524,"1984-2025","Vogels van open heide"
400,2005,44,6.2141484,7.08061622731765,"1984-2025","Vogels van open heide"
400,2006,18,5.65793112,3.18137489096898,"1984-2025","Vogels van open heide"
400,2007,36,6.1308353,5.8719567951858,"1984-2025","Vogels van open heide"
400,2008,33,6.02064405,5.48114117458912,"1984-2025","Vogels van open heide"
400,2009,26,5.98606767,4.34341899111876,"1984-2025","Vogels van open heide"
400,2010,23,6.44975091,3.5660291879396,"1984-2025","Vogels van open heide"
400,2011,22,6.44975091,3.41098444063788,"1984-2025","Vogels van open heide"
400,2012,19,6.44975091,2.94585019873271,"1984-2025","Vogels van open heide"
400,2013,17,6.44975091,2.63576070412927,"1984-2025","Vogels van open heide"
400,2014,23,6.44975091,3.5660291879396,"1984-2025","Vogels van open heide"
400,2015,26,6.57225335,3.95602521926517,"1984-2025","Vogels van open heide"
400,2016,23,6.44975091,3.5660291879396,"1984-2025","Vogels van open heide"
400,2017,28,6.57225335,4.26033485151634,"1984-2025","Vogels van open heide"
400,2018,31,6.57225335,4.71679929989309,"1984-2025","Vogels van open heide"
400,2019,35,6.10857011,5.72965511891293,"1984-2025","Vogels van open heide"
400,2020,31,6.44975091,4.80638716635337,"1984-2025","Vogels van open heide"
400,2021,22,6.57225335,3.34740595476284,"1984-2025","Vogels van open heide"
400,2022,31,6.14314649,5.04627393314855,"1984-2025","Vogels van open heide"
400,2023,35,6.57225335,5.32541856439542,"1984-2025","Vogels van open heide"
400,2024,39,6.57225335,5.93403782889775,"1984-2025","Vogels van open heide"
400,2025,38,6.57225335,5.78188301277217,"1984-2025","Vogels van open heide"
500,1958,269,4.3072,62.4535661218425,"1958-1983","Weidevogels"
500,1959,386,5.0372,76.629873739379,"1958-1983","Weidevogels"
500,1960,379,5.022,75.4679410593389,"1958-1983","Weidevogels"
500,1961,333,5.002,66.5733706517393,"1958-1983","Weidevogels"
500,1962,348,5.002,69.5721711315474,"1958-1983","Weidevogels"
500,1963,275,5.2472,52.4089037963104,"1958-1983","Weidevogels"
500,1964,379,5.3272,71.1443159633579,"1958-1983","Weidevogels"
500,1965,369,5.315,69.4261523988711,"1958-1983","Weidevogels"
500,1966,358,5.395,66.3577386468953,"1958-1983","Weidevogels"
500,1967,314,5.735,54.7515257192677,"1958-1983","Weidevogels"
500,1968,288,5.6,51.4285714285714,"1958-1983","Weidevogels"
500,1969,224,5.6,40,"1958-1983","Weidevogels"
500,1970,284,5.625,50.4888888888889,"1958-1983","Weidevogels"
500,1971,256,5.615,45.5921638468388,"1958-1983","Weidevogels"
500,1972,236,5.645,41.806908768822,"1958-1983","Weidevogels"
500,1973,293,5.715,51.2685914260717,"1958-1983","Weidevogels"
500,1974,262,5.855,44.7480785653288,"1958-1983","Weidevogels"
500,1975,272,5.505,49.4096276112625,"1958-1983","Weidevogels"
500,1976,299,6.49,46.0708782742681,"1958-1983","Weidevogels"
500,1977,285,6.175,46.1538461538462,"1958-1983","Weidevogels"
500,1978,295,6.38,46.2382445141066,"1958-1983","Weidevogels"
500,1979,273,6.37,42.8571428571429,"1958-1983","Weidevogels"
500,1980,242,6.38,37.9310344827586,"1958-1983","Weidevogels"
500,1981,264,6.38,41.3793103448276,"1958-1983","Weidevogels"
500,1982,256,6.035,42.4192212096106,"1958-1983","Weidevogels"
500,1983,225,6.38,35.2664576802508,"1958-1983","Weidevogels"
500,1984,135,3.02300608,44.6575350586129,"1984-2025","Weidevogels"
500,1985,173,5.13012052,33.7224046346576,"1984-2025","Weidevogels"
500,1986,114,4.23796013,26.8997339529006,"1984-2025","Weidevogels"
500,1987,151,5.02247314,30.0648695953006,"1984-2025","Weidevogels"
500,1988,131,4.70180252,27.8616550658533,"1984-2025","Weidevogels"
500,1989,114,4.70180252,24.2460204389869,"1984-2025","Weidevogels"
500,1990,123,4.85514176,25.3339667676356,"1984-2025","Weidevogels"
500,1991,103,5.55688703,18.5355576681572,"1984-2025","Weidevogels"
500,1992,147,6.1308353,23.9771569136754,"1984-2025","Weidevogels"
500,1993,139,6.1308353,22.6722776258563,"1984-2025","Weidevogels"
500,1994,157,6.1308353,25.6082560234492,"1984-2025","Weidevogels"
500,1995,158,6.09164596,25.9371606684772,"1984-2025","Weidevogels"
500,1996,162,6.44975091,25.1172490628789,"1984-2025","Weidevogels"
500,1997,132,6.09164596,21.6690203053101,"1984-2025","Weidevogels"
500,1998,96,5.62796272,17.0576822868507,"1984-2025","Weidevogels"
500,1999,140,6.09164596,22.9822942632076,"1984-2025","Weidevogels"
500,2000,130,5.70172844,22.8001037523983,"1984-2025","Weidevogels"
500,2001,139,6.44975091,21.5512198749393,"1984-2025","Weidevogels"
500,2002,141,6.09164596,23.1464535079448,"1984-2025","Weidevogels"
500,2003,142,6.2141484,22.851079642707,"1984-2025","Weidevogels"
500,2004,119,6.2141484,19.1498484329727,"1984-2025","Weidevogels"
500,2005,110,6.2141484,17.7015405682941,"1984-2025","Weidevogels"
500,2006,76,5.65793112,13.432471761869,"1984-2025","Weidevogels"
500,2007,115,6.1308353,18.7576397623991,"1984-2025","Weidevogels"
500,2008,99,6.02064405,16.4434235237674,"1984-2025","Weidevogels"
500,2009,122,5.98606767,20.3806583429419,"1984-2025","Weidevogels"
500,2010,100,6.44975091,15.5044747301722,"1984-2025","Weidevogels"
500,2011,91,6.44975091,14.1090720044567,"1984-2025","Weidevogels"
500,2012,100,6.44975091,15.5044747301722,"1984-2025","Weidevogels"
500,2013,99,6.44975091,15.3494299828705,"1984-2025","Weidevogels"
500,2014,94,6.44975091,14.5742062463618,"1984-2025","Weidevogels"
500,2015,111,6.57225335,16.8891845899398,"1984-2025","Weidevogels"
500,2016,100,6.44975091,15.5044747301722,"1984-2025","Weidevogels"
500,2017,92,6.57225335,13.9982430835537,"1984-2025","Weidevogels"
500,2018,83,6.57225335,12.6288497384234,"1984-2025","Weidevogels"
500,2019,92,6.10857011,15.0608077411426,"1984-2025","Weidevogels"
500,2020,116,6.44975091,17.9851906869997,"1984-2025","Weidevogels"
500,2021,106,6.57225335,16.1284105093118,"1984-2025","Weidevogels"
500,2022,100,6.14314649,16.2783030101566,"1984-2025","Weidevogels"
500,2023,122,6.57225335,18.5628875673212,"1984-2025","Weidevogels"
500,2024,116,6.57225335,17.6499586705677,"1984-2025","Weidevogels"
500,2025,109,6.57225335,16.5848749576886,"1984-2025","Weidevogels"
600,1958,297,4.3072,68.954309063893,"1958-1983","Struweelvogels"
600,1959,772,5.0372,153.259747478758,"1958-1983","Struweelvogels"
600,1960,829,5.022,165.073675826364,"1958-1983","Struweelvogels"
600,1961,812,5.002,162.335065973611,"1958-1983","Struweelvogels"
600,1962,752,5.002,150.339864054378,"1958-1983","Struweelvogels"
600,1963,685,5.2472,130.54581491081,"1958-1983","Struweelvogels"
600,1964,797,5.3272,149.609550983631,"1958-1983","Struweelvogels"
600,1965,874,5.315,164.440263405456,"1958-1983","Struweelvogels"
600,1966,950,5.395,176.088971269694,"1958-1983","Struweelvogels"
600,1967,946,5.735,164.952048823017,"1958-1983","Struweelvogels"
600,1968,951,5.6,169.821428571429,"1958-1983","Struweelvogels"
600,1969,854,5.6,152.5,"1958-1983","Struweelvogels"
600,1970,914,5.625,162.488888888889,"1958-1983","Struweelvogels"
600,1971,937,5.615,166.874443455031,"1958-1983","Struweelvogels"
600,1972,1086,5.645,192.382639503986,"1958-1983","Struweelvogels"
600,1973,1245,5.715,217.847769028871,"1958-1983","Struweelvogels"
600,1974,1354,5.855,231.255337318531,"1958-1983","Struweelvogels"
600,1975,1453,5.505,263.94187102634,"1958-1983","Struweelvogels"
600,1976,1575,6.49,242.681047765794,"1958-1983","Struweelvogels"
600,1977,1537,6.175,248.906882591093,"1958-1983","Struweelvogels"
600,1978,1499,6.38,234.952978056426,"1958-1983","Struweelvogels"
600,1979,1451,6.37,227.786499215071,"1958-1983","Struweelvogels"
600,1980,1850,6.38,289.968652037618,"1958-1983","Struweelvogels"
600,1981,2094,6.38,328.213166144201,"1958-1983","Struweelvogels"
600,1982,2156,6.035,357.249378624689,"1958-1983","Struweelvogels"
600,1983,2466,6.38,386.520376175549,"1958-1983","Struweelvogels"
600,1984,1070,3.02300608,353.952314909006,"1984-2025","Struweelvogels"
600,1985,1972,5.13012052,384.396427396213,"1984-2025","Struweelvogels"
600,1986,1674,4.23796013,395.001356466277,"1984-2025","Struweelvogels"
600,1987,1852,5.02247314,368.742639009912,"1984-2025","Struweelvogels"
600,1988,1905,4.70180252,405.16376259886,"1984-2025","Struweelvogels"
600,1989,2027,4.70180252,431.111258156372,"1984-2025","Struweelvogels"
600,1990,2006,4.85514176,413.170222242903,"1984-2025","Struweelvogels"
