EURING,VARIABELE,WAARDE,VARNR
720,BKEI_MAX, 6,58
720,BLLEG_MIN,1,59
720,BMLEG_NORM,1,60
720,BNLEG_MAX,1,61
720,Bodem1,x,19
720,BONESTH,4,62
720,BPHOLBROED,-,63
720,BQKOLBROED,*,64
720,BRNESTPER, 50,65
720,Broed-eco1,8,2
720,Broedvogel,1,1
720,BSNESTVLIE,-,66
720,BTGESLRIJP,4,67
720,BULEEF_MAX,20,68
720,BVOVERLEV,88,69
720,BWONVKLEED,12,70
720,BXGEW_MAN, 2423,71
720,BYGEW_VR,2085,72
720,BZLENG_MAN,357,73
720,CALENG_VR,339,74
720,Kolonievogel,x,15
720,Nest-pl1,7,4
720,Nest-pl2,3,5
720,Openh-max,5,12
720,Openh-min,3,11
720,Pendelaar,x,14
720,Stroming-max,3,35
720,Stroming-min,1,34
720,Stroming-opt,1,33
720,Ter-gem,6,16
720,Ter-max,6,18
720,Ter-min,4,17
720,Vocht-max,1,23
720,Vocht-min,1,22
720,Vocht-opt,1,21
720,Voedsel-eco1,1,6
720,Voedsel-pl1,1,8
720,Voedselrijk-max,3,29
720,Voedselrijk-min,2,28
720,Voedselrijk-opt,3,27
720,Zout-max,5,32
720,Zout-min,1,31
720,Zout-opt,1,30
720,Zuur-max,3,26
720,Zuur-min,2,25
720,Zuur-opt,3,24
800,AORO_LIJST,-,36
800,APBL_LIJST,-,37
800,AQNBP,-,38
800,ARBMP,-,39
800,ASPTT,-,40
800,ATOE_GROEP,III,41
800,AUPMI73_77,      -,42
800,AVPMA73_77,      -,43
800,AWPMI79_85,     -,44
800,AXPMA79_85,     -,45
800,AYTRST_BR,-,46
800,AZTRST_NBR,WDo,47
800,BAWINT_GEB,-,48
800,BBBROEDGEB,124,49
800,BCBRV_NED,-,50
800,BDPRESENT,-,51
800,BEBROEDBIO,a5,52
800,BFBRTYBEG,3,53
800,BGBRTYEND,9,54
800,BHBRDUUR,30,55
800,BIEI_MIN, 2,56
800,BJEI_NORM, 3,57
800,BKEI_MAX, 6,58
800,BLLEG_MIN,1,59
800,BMLEG_NORM,1,60
800,BNLEG_MAX,1,61
800,BONESTH,4,62
800,BPHOLBROED,-,63
800,BQKOLBROED,*,64
800,BRNESTPER, 53,65
800,BSNESTVLIE,-,66
800,BTGESLRIJP,4,67
800,BULEEF_MAX,16,68
800,BVOVERLEV,84,69
800,BWONVKLEED,12,70
800,BXGEW_MAN, 1930,71
800,BZLENG_MAN,273,73
800,CALENG_VR,265,74
950,AORO_LIJST,*,36
950,APBL_LIJST,-,37
950,AQNBP,tz,38
950,ARBMP,-,39
950,ASPTT,-,40
950,ATOE_GROEP,III,41
950,AUPMI73_77,    500,42
950,AVPMA73_77,    700,43
950,AWPMI79_85,   200,44
950,AXPMA79_85,   700,45
950,AYTRST_BR,S,46
950,AZTRST_NBR,WDo,47
950,BAWINT_GEB,  2,48
950,BBBROEDGEB,1234,49
950,BCBRV_NED,*,50
950,BDPRESENT,345,51
950,BEBROEDBIO,d1,52
950,BFBRTYBEG,3,53
950,BGBRTYEND,8,54
950,BHBRDUUR,26,55
950,BIEI_MIN, 3,56
950,BJEI_NORM, 4,57
950,BKEI_MAX, 7,58
950,BLLEG_MIN,1,59
950,BMLEG_NORM,1,60
950,BNLEG_MAX,1,61
950,Bodem1,x,19
950,BONESTH,1,62
950,BPHOLBROED,-,63
950,BQKOLBROED,-,64
950,BRNESTPER, 52,65
950,Broed-eco1,2,2
950,Broedvogel,1,1
950,BSNESTVLIE,-,66
950,BTGESLRIJP,1,67
950,BULEEF_MAX,11,68
950,BVOVERLEV,-,69
950,BWONVKLEED,0,70
950,BXGEW_MAN, 1453,71
950,BYGEW_VR,1009,72
950,BZLENG_MAN,346,73
950,CALENG_VR,311,74
950,Nest-pl1,3,4
950,Openh-max,4,12
950,Openh-min,2,11
950,Stroming-max,2,35
950,Stroming-min,1,34
950,Stroming-opt,1,33
950,Ter-gem,3,16
950,Ter-max,4,18
950,Ter-min,2,17
