SUBNHLVOLG,SUBNHLCODE,SUBNHLOMS,GROEPNR,GROEPNAAM,REFERENTIE,ONDERGRENS,REF_KLAS,ONDER_KLAS
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",702.0,Geelgors-groep,41.2796,13.6223,55.5,18.315
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",703.0,Putter-groep,1.9626,0.6477,2.25,0.7425
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",711.0,Bosrandstruweelvogels,43.2422,14.2699,57.75,19.0575
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",800.0,Bosvogels,172.9128,57.0612,189.75,62.6175
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",801.0,Vink-groep,1.3084,0.4318,1.5,0.495
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",802.0,Kruisbek-groep,4.9065,1.6191,4.5,1.485
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",803.0,Appelvink-groep,27.5415,9.0887,31.5,10.395
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",804.0,Grote Bonte Specht-groep,100.7552,33.2492,108.75,35.8875
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",805.0,Kleine Bonte Specht-groep,14.3923,4.7494,13.5,4.455
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",806.0,Boomklever-groep,18.7099,6.1743,24.0,7.92
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",807.0,Havik-groep,5.299,1.7487,6.0,1.98
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",811.0,Loofhoutvogels,60.6437,20.0124,69.0,22.77
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",812.0,Holenbroeders,133.8574,44.1729,146.25,48.2625
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",813.0,Vogels van oud bos,161.399,53.2617,177.75,58.6575
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",901.0,Zwarte Roodstaart-groep,14.0652,4.6415,18.0,5.94
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",911.0,Rode Lijst soorten,5.299,1.7487,6.75,2.2275
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",921.0,Roofvogels,5.299,1.7487,6.0,1.98
57.0,13.1,"Grove dennen-Berkenbos op zure, arme zandgronden",999.0,Overige soorten,2.6168,0.8635,3.0,0.99
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",100.0,Watervogels,0.3517,0.1161,0.8,0.264
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",101.0,Dodaars-groep,0.1924,0.0635,0.4,0.132
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",102.0,Slobeend-groep,0.1954,0.0645,0.4,0.132
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",103.0,Kuifeend-groep,0.0977,0.0322,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",200.0,Rietvogels,0.3517,0.1161,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",202.0,Rietzanger-groep,0.3517,0.1161,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",211.0,Waterrietvogels,0.3517,0.1161,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",300.0,Pioniervogels,0.4129,0.1363,0.4,0.132
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",303.0,Scholekster-groep,0.1563,0.0516,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",304.0,Tapuit-groep,0.2566,0.0847,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",400.0,Vogels van open heide,0.0195,0.0064,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",401.0,Korhoen-groep,0.0195,0.0064,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",500.0,Weidevogels,0.3487,0.1151,0.8,0.264
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",501.0,Zomertaling-groep,0.3097,0.1022,0.4,0.132
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",502.0,Grutto-groep,0.0195,0.0064,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",503.0,Veldleeuwerik-groep,0.0195,0.0064,0.2,0.066
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",600.0,Struweelvogels,20.7841,6.8588,26.45,8.7285
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",602.0,Roodborsttapuit-groep,1.6985,0.5605,2.25,0.7425
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",603.0,Grasmus-groep,4.3556,1.4374,5.45,1.7985
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",604.0,Winterkoning-groep,16.4285,5.4214,21.0,6.93
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",611.0,Zwartkop-groep,16.4285,5.4214,21.0,6.93
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",700.0,Bosrandvogels,20.8205,6.8708,18.05,5.9565
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",702.0,Geelgors-groep,18.0908,5.97,14.85,4.9005
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",703.0,Putter-groep,2.7297,0.9008,3.2,1.056
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",711.0,Bosrandstruweelvogels,25.1762,8.3081,23.5,7.755
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",800.0,Bosvogels,122.2143,40.3307,130.15,42.9495
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",801.0,Vink-groep,1.4113,0.4657,1.5,0.495
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",802.0,Kruisbek-groep,3.3487,1.1051,3.95,1.3035
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",803.0,Appelvink-groep,17.1583,5.6622,19.5,6.435
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",804.0,Grote Bonte Specht-groep,62.268,20.5484,63.2,20.856
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",805.0,Kleine Bonte Specht-groep,21.7609,7.1811,25.5,8.415
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",806.0,Boomklever-groep,13.5843,4.4828,13.5,4.455
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",807.0,Havik-groep,2.6828,0.8853,3.0,0.99
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",808.0,Torenvalk-groep,0.6598,0.2177,0.4,0.132
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",811.0,Loofhoutvogels,52.5035,17.3262,58.5,19.305
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",812.0,Holenbroeders,97.6132,32.2124,102.2,33.726
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",813.0,Vogels van oud bos,114.7715,37.8746,121.7,40.161
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",901.0,Zwarte Roodstaart-groep,8.4511,2.7889,9.2,3.036
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",911.0,Rode Lijst soorten,2.982,0.9841,3.05,1.0065
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",921.0,Roofvogels,3.3426,1.1031,3.4,1.122
58.0,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",999.0,Overige soorten,2.8936,0.9549,3.0,0.99
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",100.0,Watervogels,0.3576,0.118,0.8,0.264
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",101.0,Dodaars-groep,0.1955,0.0645,0.4,0.132
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",102.0,Slobeend-groep,0.1987,0.0656,0.4,0.132
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",103.0,Kuifeend-groep,0.0993,0.0328,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",200.0,Rietvogels,0.3576,0.118,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",202.0,Rietzanger-groep,0.3576,0.118,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",211.0,Waterrietvogels,0.3576,0.118,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",300.0,Pioniervogels,0.4196,0.1385,0.4,0.132
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",303.0,Scholekster-groep,0.159,0.0525,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",304.0,Tapuit-groep,0.2607,0.086,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",400.0,Vogels van open heide,0.0199,0.0066,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",401.0,Korhoen-groep,0.0199,0.0066,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",500.0,Weidevogels,0.3545,0.117,0.8,0.264
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",501.0,Zomertaling-groep,0.3147,0.1039,0.4,0.132
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",502.0,Grutto-groep,0.0199,0.0066,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",503.0,Veldleeuwerik-groep,0.0199,0.0066,0.2,0.066
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",600.0,Struweelvogels,20.8291,6.8736,26.45,8.7285
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",602.0,Roodborsttapuit-groep,1.7253,0.5693,2.25,0.7425
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",603.0,Grasmus-groep,4.4243,1.46,5.45,1.7985
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",604.0,Winterkoning-groep,16.4048,5.4136,21.0,6.93
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",611.0,Zwartkop-groep,16.4048,5.4136,21.0,6.93
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",700.0,Bosrandvogels,20.4992,6.7647,18.05,5.9565
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",702.0,Geelgors-groep,17.7245,5.8491,14.85,4.9005
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",703.0,Putter-groep,2.7747,0.9156,3.2,1.056
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",711.0,Bosrandstruweelvogels,24.9235,8.2247,23.5,7.755
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",800.0,Bosvogels,120.4841,39.7598,128.65,42.4545
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",801.0,Vink-groep,1.4336,0.4731,1.5,0.495
59.0,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm zand",802.0,Kruisbek-groep,3.1409,1.0365,3.2,1.056
