VARNR,VARIABELE,WAARDE,OMSCHRIJVI,REKENWAARD
41,ATOE_GROEP,V,roofvogels,0.0
41,ATOE_GROEP,VI,aan wad en strand gebonden steltlopers,0.0
41,ATOE_GROEP,VII,min of meer aan water gebonden steltlopers,0.0
41,ATOE_GROEP,VIII,minder of niet water gebonden steltlopers,0.0
41,ATOE_GROEP,X,vogels van bosachtig terrein,0.0
41,ATOE_GROEP,XI,vogels van moerasachtig terrein,0.0
41,ATOE_GROEP,XII,aan zoet water gebonden meeuwen en sterns,0.0
46,AYTRST_BR,-,-,0.0
46,AYTRST_BR,S,standvogel,0.0
46,AYTRST_BR,SDe,standvogel en deeltrekker,0.0
46,AYTRST_BR,Z,zomervogel,0.0
47,AZTRST_NBR,-,-,0.0
47,AZTRST_NBR,Do,doortrekker,0.0
47,AZTRST_NBR,W,wintergast,0.0
47,AZTRST_NBR,WDo,wintergast en doortrekker,0.0
48,BAWINT_GEB,  1,NW-Europa,0.0
48,BAWINT_GEB,  2,Zuid-Europa,0.0
48,BAWINT_GEB,  3,Afrika,0.0
48,BAWINT_GEB, 12,NW- en Z-Europa,0.0
48,BAWINT_GEB, 23,Z-Europa en Afrika,0.0
48,BAWINT_GEB,-,-,0.0
48,BAWINT_GEB,123,Europa en Afrika,0.0
49,BBBROEDGEB,-,-,0.0
49,BBBROEDGEB,1,NW-Europa,0.0
49,BBBROEDGEB,12,,0.0
49,BBBROEDGEB,123,,0.0
49,BBBROEDGEB,1234,,0.0
49,BBBROEDGEB,124,,0.0
49,BBBROEDGEB,13,,0.0
49,BBBROEDGEB,134,,0.0
49,BBBROEDGEB,14,,0.0
49,BBBROEDGEB,2,N-Europa,0.0
49,BBBROEDGEB,23,,0.0
49,BBBROEDGEB,234,,0.0
49,BBBROEDGEB,235,,0.0
49,BBBROEDGEB,3,NO- en 0-Europa,0.0
49,BBBROEDGEB,34,,0.0
49,BBBROEDGEB,4,Z-Europa,0.0
49,BBBROEDGEB,5,Amerika,0.0
50,BCBRV_NED,*,regelmatige broedvogel,0.0
50,BCBRV_NED,-,geen broedvogel,0.0
50,BCBRV_NED,i,incidentele broedvogel,0.0
50,BCBRV_NED,v,voormalige broedvogel,0.0
85,Ecogroep,100,Watervogels,0.0
85,Ecogroep,101,Dodaars-groep,0.0
85,Ecogroep,102,Slobeend-groep,0.0
85,Ecogroep,103,Kuifeend-groep,0.0
85,Ecogroep,104,IJsvogel-groep,0.0
85,Ecogroep,200,Rietvogels,0.0
85,Ecogroep,201,Roerdomp-groep,0.0
85,Ecogroep,202,Rietzanger-groep,0.0
85,Ecogroep,203,Porseleinhoen-groep,0.0
85,Ecogroep,204,Blauwborst-groep,0.0
85,Ecogroep,300,Pioniervogels,0.0
85,Ecogroep,301,Strandplevier-groep,0.0
85,Ecogroep,302,Kleine Plevier-groep,0.0
85,Ecogroep,303,Scholekster-groep,0.0
85,Ecogroep,304,Tapuit-groep,0.0
85,Ecogroep,305,Fazant-groep,0.0
85,Ecogroep,306,Kievit-groep,0.0
85,Ecogroep,400,Vogels van open heide,0.0
85,Ecogroep,401,Korhoen-groep,0.0
85,Ecogroep,402,Wulp-groep,0.0
85,Ecogroep,500,Weidevogels,0.0
85,Ecogroep,501,Zomertaling-groep,0.0
85,Ecogroep,502,Grutto-groep,0.0
85,Ecogroep,503,Veldleeuwerik-groep,0.0
85,Ecogroep,600,Struweelvogels,0.0
85,Ecogroep,601,Rietgors-groep,0.0
85,Ecogroep,602,Roodborsttapuit-groep,0.0
85,Ecogroep,603,Grasmus-groep,0.0
85,Ecogroep,604,Winterkoning-groep,0.0
85,Ecogroep,700,Bosrandvogels,0.0
85,Ecogroep,701,Buidelmees-groep,0.0
85,Ecogroep,702,Geelgors-groep,0.0
85,Ecogroep,703,Putter-groep,0.0
85,Ecogroep,711,Bosrandstruweelvogels,0.0
85,Ecogroep,800,Bosvogels,0.0
85,Ecogroep,801,Vink-groep,0.0
85,Ecogroep,802,Kruisbek-groep,0.0
85,Ecogroep,803,Appelvink-groep,0.0
85,Ecogroep,804,Grote Bonte Specht-groep,0.0
85,Ecogroep,805,Kleine Bonte Specht-groep,0.0
85,Ecogroep,806,Boomklever-groep,0.0
85,Ecogroep,807,Havik-groep,0.0
85,Ecogroep,808,Torenvalk-groep,0.0
85,Ecogroep,811,Loofhoutvogels,0.0
85,Ecogroep,812,Holenbroeders,0.0
85,Ecogroep,813,Vogels van oud bos,0.0
85,Ecogroep,901,Zwarte Roodstaart-groep,0.0
85,Ecogroep,911,Rode Lijst soorten,0.0
85,Ecogroep,912,Blauwe Lijst soorten,0.0
85,Ecogroep,921,Roofvogels,0.0
85,Ecogroep,999,Overige soorten,0.0
86,sleutelfactor,1,ondiep open water,
86,sleutelfactor,2,"open water, vis",
86,sleutelfactor,3,ondiep open water,
86,sleutelfactor,4,ondiep open water,
86,sleutelfactor,5,"open water, vis, bomen",
86,sleutelfactor,6,nat overjarig riet,
86,sleutelfactor,7,nat overjarig riet,
86,sleutelfactor,8,"ondiep open water (stromend), bos, hoge struwelen",
86,sleutelfactor,9,"ondiep open water, bos, hoge struwelen",
86,sleutelfactor,10,"ondiep open water, rietland",
86,sleutelfactor,11,"ondiep water, bos",
86,sleutelfactor,12,"ondiep open water, rietland",
