SDT_CODE0,SUBNHL,OMSCHRIJVI,ECOGROEP,GROEPNAAM,HABITAT,STATUS,ONDERGRENS,REFERENTIE
09.05,9.5,Droge schraallanden,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,0.0,0.0
09.05,9.5,Droge schraallanden,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Standaard,0.0,0.0
09.06,9.6,Overige bloemrijke graslanden,0,,,,0.0,0.0
10.01,10.1,Vochtig schraal grasland,501,Zomertaling-groep,"drassig, structuurrijk grasland. Plaatselijk open water",Standaard,0.0,0.0
10.01,10.1,Vochtig schraal grasland,502,Grutto-groep,vochtig tot drassig grasland,Standaard,0.0,0.0
10.01,10.1,Vochtig schraal grasland,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,0.0,0.0
10.02,10.2,Veenweide,501,Zomertaling-groep,"drassig, structuurrijk grasland. Plaatselijk open water",Standaard,9.31,27.93
10.02,10.2,Veenweide,502,Grutto-groep,vochtig tot drassig grasland,Standaard,30.565,91.69
10.02,10.2,Veenweide,503,Veldleeuwerik-groep,nat tot droog grasland,Standaard,17.679,53.04
11.01,11.1,Watergemeenschappen in laagveen en kleigebieden,101,Dodaars-groep,voedselarm-matig voedselrijk open water,Standaard,0.0,0.0
11.01,11.1,Watergemeenschappen in laagveen en kleigebieden,102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,1.773,5.32
11.01,11.1,Watergemeenschappen in laagveen en kleigebieden,211,Waterrietvogels,natte rietvegetaties,Facultatief,0.0,55.85
11.02,11.2,"Vennen en plassen op zand, zwak gebufferd",101,Dodaars-groep,voedselarm-matig voedselrijk open water,Standaard,0.0,0.0
11.02,11.2,"Vennen en plassen op zand, zwak gebufferd",102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,0.0,0.0
11.02,11.2,"Vennen en plassen op zand, zwak gebufferd",402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Facultatief,0.0,0.0
11.03,11.3,Beken en rellen,104,IJsvogel-groep,beken,Standaard,0.0,0.0
12.01,12.1,"Complex van ooibos, pionier- en watervegetaties in",101,Dodaars-groep,voedselarm-matig voedselrijk open water,Facultatief,0.0,3.3
12.01,12.1,"Complex van ooibos, pionier- en watervegetaties in",102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,14.377,43.13
12.01,12.1,"Complex van ooibos, pionier- en watervegetaties in",211,Waterrietvogels,natte rietvegetaties,Standaard,2.337,7.01
12.01,12.1,"Complex van ooibos, pionier- en watervegetaties in",603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Facultatief,0.0,91.03
12.01,12.1,"Complex van ooibos, pionier- en watervegetaties in",701,Buidelmees-groep,"boomgroepen in rietland, rivierbegeleidend bos",Standaard,0.894,2.68
12.01,12.1,"Complex van ooibos, pionier- en watervegetaties in",812,Holenbroeders,"oud bos, dode bomen",Facultatief,0.0,34.09
12.02,12.2,"Complex van bos, rietruigten, gras en water op laa",101,Dodaars-groep,voedselarm-matig voedselrijk open water,Facultatief,0.0,3.47
12.02,12.2,"Complex van bos, rietruigten, gras en water op laa",102,Slobeend-groep,"kleinschalig, ondiep (matig) voedselrijk open water",Standaard,6.654,19.96
12.02,12.2,"Complex van bos, rietruigten, gras en water op laa",211,Waterrietvogels,natte rietvegetaties,Standaard,13.718,41.16
12.02,12.2,"Complex van bos, rietruigten, gras en water op laa",603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Facultatief,0.0,33.01
12.02,12.2,"Complex van bos, rietruigten, gras en water op laa",701,Buidelmees-groep,"boomgroepen in rietland, rivierbegeleidend bos",Standaard,0.727,2.18
12.02,12.2,"Complex van bos, rietruigten, gras en water op laa",812,Holenbroeders,"oud bos, dode bomen",Facultatief,0.0,10.0
12.04,12.4,"Complex van bos, ruigten, gras op kalkrijke gronde",503,Veldleeuwerik-groep,nat tot droog grasland,Facultatief,0.0,0.0
12.04,12.4,"Complex van bos, ruigten, gras op kalkrijke gronde",711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,0.0,0.0
12.04,12.4,"Complex van bos, ruigten, gras op kalkrijke gronde",803,Appelvink-groep,opgaand bos met loofbomen,Facultatief,0.0,0.0
12.05,12.5,"Complex van bos, ruigten en water op zandgronden",503,Veldleeuwerik-groep,nat tot droog grasland,Facultatief,0.0,0.0
12.05,12.5,"Complex van bos, ruigten en water op zandgronden",603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,0.0,0.0
12.05,12.5,"Complex van bos, ruigten en water op zandgronden",702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Standaard,0.0,0.0
13.01,13.1,"Grove dennen-Berkenbos op zuur, arm zand",611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,23.933,71.8
13.01,13.1,"Grove dennen-Berkenbos op zuur, arm zand",711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,14.414,43.24
13.01,13.1,"Grove dennen-Berkenbos op zuur, arm zand",803,Appelvink-groep,opgaand bos met loofbomen,Standaard,9.181,27.54
13.01,13.1,"Grove dennen-Berkenbos op zuur, arm zand",812,Holenbroeders,"oud bos, dode bomen",Standaard,44.619,133.86
13.02,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,15.367,46.1
13.02,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,8.392,25.18
13.02,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",803,Appelvink-groep,opgaand bos met loofbomen,Standaard,5.719,17.16
13.02,13.2,"Grove dennen-Eikenbos op droog, leemarm zand",812,Holenbroeders,"oud bos, dode bomen",Standaard,32.538,97.61
13.03,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm",611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,15.467,46.4
13.03,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm",711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,8.308,24.92
13.03,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm",803,Appelvink-groep,opgaand bos met loofbomen,Standaard,5.677,17.03
13.03,13.3,"Grove dennen-Eikenbos op vochtig tot nat, leemarm",812,Holenbroeders,"oud bos, dode bomen",Standaard,32.095,96.29
13.04,13.4,Grove dennen-Eikenbos op zand met cultuur-invloed,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,30.6,91.8
13.04,13.4,Grove dennen-Eikenbos op zand met cultuur-invloed,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,4.514,13.54
13.04,13.4,Grove dennen-Eikenbos op zand met cultuur-invloed,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,9.432,28.3
13.04,13.4,Grove dennen-Eikenbos op zand met cultuur-invloed,812,Holenbroeders,"oud bos, dode bomen",Standaard,42.855,128.57
13.05,13.5,Grove dennen-Eikenbos met exoten op zand met cultu,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,21.3,63.9
13.05,13.5,Grove dennen-Eikenbos met exoten op zand met cultu,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,5.458,16.37
13.05,13.5,Grove dennen-Eikenbos met exoten op zand met cultu,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,9.092,27.28
13.05,13.5,Grove dennen-Eikenbos met exoten op zand met cultu,812,Holenbroeders,"oud bos, dode bomen",Standaard,49.968,149.9
13.06,13.6,Wintereiken-Beukenbos op leemhoudend zand,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,25.633,76.9
13.06,13.6,Wintereiken-Beukenbos op leemhoudend zand,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,3.559,10.68
13.06,13.6,Wintereiken-Beukenbos op leemhoudend zand,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,9.349,28.05
13.06,13.6,Wintereiken-Beukenbos op leemhoudend zand,812,Holenbroeders,"oud bos, dode bomen",Standaard,65.395,196.18
13.07,13.7,Wintereiken-Beukenbos met exoten op leemhoudend za,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,18.6,55.8
13.07,13.7,Wintereiken-Beukenbos met exoten op leemhoudend za,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,4.655,13.96
