LANDSCHAP,EURING,DREMPEL,CODE
1211, 3700,0,K
1211, 4080,0,K
1211, 4210,0,K
1211, 4500,0,K
1211, 4560,0,K
1211, 4700,0,K
1211, 4770,0,K
1211, 4930,0,K
1211, 5120,0,K
1211, 5170,0,K
1211, 5190,0,K
1211, 5320,0,K
1211, 5410,0,K
1211, 5460,0,K
1211, 5750,0,K
1211, 5820,0,K
1211, 5920,0,K
1211, 6050,0,K
1211, 6110,0,K
1211, 6150,0,K
1211, 6160,0,K
1211, 6240,0,K
1211, 7680,0,K
1211, 9760,0,K
1211,10110,0,K
1211,10171,0,K
1211,10201,0,K
1212, 2600,0,K
1212, 2610,0,K
1212, 2630,0,K
1212, 3040,0,K
1212, 3670,0,K
1212, 3940,0,K
1212, 4210,0,K
1212, 4330,0,K
1212, 5190,0,K
1212, 7680,0,K
1212,11040,0,K
1212,11060,0,K
1212,11370,0,K
1212,11390,0,K
1212,12260,0,K
1212,12360,0,K
1212,12380,0,K
1212,12430,0,K
1212,12500,0,K
1212,12510,0,K
1212,12750,0,K
1212,15150,0,K
1212,16600,0,K
1212,16790,0,K
1212,18770,0,K
1220, 1730,0,K
1220, 1790,0,K
1220, 1890,0,K
1220, 2060,0,K
1220, 2210,0,K
1220, 2600,0,K
1220, 2610,0,K
1220, 2630,0,K
1220, 3040,0,K
1220, 3670,0,K
1220, 3940,0,K
1220, 4210,0,K
1220, 4330,0,K
1220, 4500,0,K
1220, 4560,0,K
1220, 4700,0,K
1220, 4770,0,K
1220, 4930,0,K
1220, 5120,0,K
1220, 5170,0,K
1220, 5190,0,K
1220, 5320,0,K
1220, 5460,0,K
1220, 5750,0,K
1220, 5820,0,K
1220, 5920,0,K
1220, 6050,0,K
1220, 6110,0,K
1220, 6150,0,K
1220, 6160,0,K
1220, 6240,0,K
1220, 7680,0,K
1220, 9760,0,K
1220,10110,0,K
1220,11040,0,K
1220,11060,0,K
1220,11370,0,K
1220,11390,0,K
1220,12260,0,K
1220,12360,0,K
1220,12380,0,K
1220,12430,0,K
1220,12500,0,K
1220,12510,0,K
1220,12750,0,K
1220,15150,0,K
1220,16600,0,K
1220,16790,0,K
1220,18770,0,K
1221, 1220,0,K
1221, 1340,0,K
1221, 1730,0,K
1221, 1790,0,K
1221, 1820,0,K
1221, 1860,0,K
1221, 1890,0,K
1221, 1910,0,K
1221, 1940,0,K
1221, 2060,0,K
1221, 2210,0,K
1221, 3040,0,K
1221, 3670,0,K
1221, 3700,0,K
1221, 4080,0,K
1221, 4210,0,K
1221, 4500,0,K
1221, 4560,0,K
1221, 4700,0,K
1221, 4770,0,K
1221, 4930,0,K
1221, 5120,0,K
1221, 5170,0,K
1221, 5190,0,K
1221, 5320,0,K
1221, 5410,0,K
1221, 5460,0,K
1221, 5750,0,K
1221, 5820,0,K
1221, 5920,0,K
1221, 6050,0,K
1221, 6110,0,K
1221, 6150,0,K
1221, 6160,0,K
1221, 6240,0,K
1221, 6270,0,K
1221, 7350,0,K
1221, 7680,0,K
1221, 9760,0,K
1221,10110,0,K
1221,10171,0,K
1221,10201,0,K
1221,11370,0,K
1221,11390,0,K
1221,18820,0,K
1222, 2600,0,K
1222, 2610,0,K
1222, 2630,0,K
1222, 3040,0,K
1222, 3670,0,K
1222, 3940,0,K
1222, 4210,0,K
1222, 4330,0,K
1222, 5190,0,K
1222, 7680,0,K
1222,11040,0,K
1222,11060,0,K
1222,11370,0,K
1222,11390,0,K
1222,12260,0,K
1222,12360,0,K
1222,12380,0,K
1222,12430,0,K
1222,12500,0,K
1222,12510,0,K
1222,12750,0,K
1222,15150,0,K
1222,16600,0,K
1222,16790,0,K
1222,18770,0,K
1500,  720,0,K
2000,   70,0,K
2000,  120,0,K
2000, 1730,0,K
2000, 1840,0,K
2000, 2060,0,K
2000, 2600,0,K
2000, 2610,0,K
2000, 2630,0,K
2000, 3100,0,K
2000, 3670,0,K
2000, 3940,0,K
2000, 4070,0,K
2000, 4500,0,K
2000, 4930,0,K
2000, 5190,0,K
2000, 5320,0,K
2000, 5410,0,K
2000, 5750,0,K
2000, 5820,0,K
2000, 5900,0,K
2000, 5910,0,K
2000, 5920,0,K
2000, 6150,0,K
2000, 6680,0,K
2000, 7240,0,K
2000, 7680,0,K
2000, 7780,0,K
2000, 9740,0,K
2000, 9760,0,K
2000,10090,0,K
2000,10110,0,K
2000,10840,0,K
2000,11040,0,K
2000,11370,0,K
2000,11390,0,K
2000,11460,0,K
2000,12360,0,K
2000,12740,0,K
2000,12750,0,K
2000,13120,0,K
2000,15150,0,K
2000,15490,0,K
2000,15600,0,K
2000,16600,0,K
2000,16630,0,K
2000,16790,0,K
2000,18570,0,K
2100, 1730,0,K
2100, 2060,0,K
2100, 2610,0,K
2100, 3100,0,K
2100, 3670,0,K
2100, 3940,0,K
2100, 4500,0,K
2100, 4590,0,K
2100, 5410,0,K
2100, 5750,0,K
2100, 5900,0,K
2100, 5910,0,K
2100, 5920,0,K
2100, 6150,0,K
2100, 6680,0,K
2100, 7240,0,K
2100, 7680,0,K
2100, 7780,0,K
2100, 8480,0,K
2100, 9740,0,K
2100, 9760,0,K
2100,10090,0,K
2100,10110,0,K
2100,10840,0,K
2100,11040,0,K
2100,11370,0,K
2100,11390,0,K
2100,11460,0,K
2100,12360,0,K
2100,12740,0,K
2100,12750,0,K
2100,13120,0,K
2100,15150,0,K
2100,15490,0,K
2100,15600,0,K
2100,16600,0,K
2100,16630,0,K
2100,18570,0,K
2200, 1730,0,K
2200, 2060,0,K
2200, 2610,0,K
2200, 3100,0,K
2200, 3670,0,K
2200, 3940,0,K
2200, 4500,0,K
2200, 4590,0,K
2200, 5410,0,K
2200, 5750,0,K
2200, 5900,0,K
2200, 5910,0,K
2200, 5920,0,K
2200, 6150,0,K
2200, 6680,0,K
2200, 7240,0,K
2200, 7680,0,K
2200, 7780,0,K
2200, 8480,0,K
2200, 9740,0,K
2200, 9760,0,K
2200,10090,0,K
2200,10110,0,K
2200,10840,0,K
2200,11040,0,K
2200,11370,0,K
2200,11390,0,K
2200,11460,0,K
2200,12360,0,K
2200,12740,0,K
2200,12750,0,K
2200,13120,0,K
2200,15150,0,K
2200,15490,0,K
2200,15600,0,K
2200,16600,0,K
2200,16630,0,K
2200,18570,0,K
2210, 1730,0,K
2210, 2060,0,K
2210, 2610,0,K
2210, 3100,0,K
2210, 3670,0,K
2210, 3940,0,K
2210, 4500,0,K
2210, 4590,0,K
2210, 5410,0,K
2210, 5750,0,K
2210, 5900,0,K
2210, 5910,0,K
2210, 5920,0,K
2210, 6150,0,K
2210, 6680,0,K
2210, 7240,0,K
2210, 7680,0,K
2210, 7780,0,K
2210, 8480,0,K
2210, 9740,0,K
2210, 9760,0,K
2210,10090,0,K
2210,10110,0,K
2210,10840,0,K
2210,11040,0,K
2210,11370,0,K
2210,11390,0,K
2210,11460,0,K
2210,12360,0,K
2210,12740,0,K
2210,12750,0,K
2210,13120,0,K
2210,15150,0,K
2210,15490,0,K
2210,15600,0,K
2210,16600,0,K
2210,16630,0,K
2210,18570,0,K
2220, 1730,0,K
2220, 2060,0,K
2220, 2610,0,K
2220, 3100,0,K
2220, 3670,0,K
2220, 3940,0,K
2220, 4500,0,K
2220, 4590,0,K
2220, 5410,0,K
2220, 5750,0,K
2220, 5900,0,K
2220, 5910,0,K
2220, 5920,0,K
2220, 6150,0,K
2220, 6680,0,K
2220, 7240,0,K
2220, 7680,0,K
2220, 7780,0,K
2220, 8480,0,K
2220, 9740,0,K
2220, 9760,0,K
2220,10090,0,K
2220,10110,0,K
2220,10840,0,K
2220,11040,0,K
2220,11370,0,K
2220,11390,0,K
2220,11460,0,K
2220,12360,0,K
2220,12740,0,K
2220,12750,0,K
2220,13120,0,K
2220,15150,0,K
2220,15490,0,K
2220,15600,0,K
2220,16600,0,K
2220,16630,0,K
2220,18570,0,K
2230, 1730,0,K
2230, 2060,0,K
2230, 2610,0,K
2230, 3100,0,K
2230, 3670,0,K
2230, 3940,0,K
2230, 4500,0,K
2230, 4590,0,K
2230, 5410,0,K
2230, 5750,0,K
2230, 5900,0,K
2230, 5910,0,K
2230, 5920,0,K
2230, 6150,0,K
2230, 6680,0,K
2230, 7240,0,K
2230, 7680,0,K
2230, 7780,0,K
2230, 8480,0,K
2230, 9740,0,K
2230, 9760,0,K
2230,10090,0,K
2230,10110,0,K
2230,10840,0,K
2230,11040,0,K
2230,11370,0,K
2230,11390,0,K
2230,11460,0,K
2230,12360,0,K
2230,12740,0,K
2230,12750,0,K
2230,13120,0,K
2230,15150,0,K
2230,15490,0,K
2230,15600,0,K
2230,16600,0,K
2230,16630,0,K
2230,18570,0,K
2240, 1730,0,K
2240, 2060,0,K
2240, 2610,0,K
2240, 2630,0,K
2240, 3100,0,K
2240, 3670,0,K
2240, 3940,0,K
2240, 4500,0,K
2240, 4590,0,K
2240, 5410,0,K
2240, 5750,0,K
2240, 5900,0,K
2240, 5910,0,K
2240, 5920,0,K
2240, 6150,0,K
2240, 6680,0,K
2240, 6870,0,K
2240, 7240,0,K
2240, 7680,0,K
2240, 7780,0,K
2240, 8480,0,K
2240, 9740,0,K
2240, 9760,0,K
2240,10090,0,K
2240,10110,0,K
2240,10660,0,K
2240,10840,0,K
2240,11040,0,K
2240,11060,0,K
2240,11370,0,K
2240,11390,0,K
2240,11460,0,K
2240,12200,0,K
2240,12360,0,K
2240,12500,0,K
2240,12590,0,K
