LANDSCHAP,LAND,ECOCODE,DISTRICT,PERIODE,EURING,MEDIAAN,MAX_DICHT,PRESENTIE
2000, NL,,,1990, 5750,1,0.0,0
2000, NL,,,1990, 5900,9,141.3,0
2000, NL,,,1990, 5910,6,26.1,0
2000, NL,,,1990, 5920,10,496.3,0
2000, NL,,,1990, 6680,4,2.7,0
2000, NL,,,1990, 6700,5,5.4,0
2000, NL,,,1990, 7240,3,2.0,0
2000, NL,,,1990, 7680,1,0.3,0
2000, NL,,,1990, 9760,2,1.3,0
2000, NL,,,1990,10090,1,0.2,0
2000, NL,,,1990,10110,6,16.2,0
2000, NL,,,1990,10201,3,1.9,0
2000, NL,,,1990,10660,6,12.5,0
2000, NL,,,1990,10840,5,7.1,0
2000, NL,,,1990,11040,1,0.0,0
2000, NL,,,1990,11370,1,0.7,0
2000, NL,,,1990,11390,3,2.3,0
2000, NL,,,1990,11460,5,5.4,0
2000, NL,,,1990,11870,3,2.9,0
2000, NL,,,1990,12360,5,5.2,0
2000, NL,,,1990,12430,1,0.2,0
2000, NL,,,1990,12500,1,0.2,0
2000, NL,,,1990,12510,1,0.6,0
2000, NL,,,1990,12740,3,1.5,0
2000, NL,,,1990,12750,6,11.9,0
2000, NL,,,1990,13120,6,11.0,0
2000, NL,,,1990,14620,1,0.2,0
2000, NL,,,1990,14640,1,0.4,0
2000, NL,,,1990,15490,4,2.7,0
2000, NL,,,1990,15600,7,21.9,0
2000, NL,,,1990,15671,1,0.4,0
2000, NL,,,1990,15980,1,0.0,0
2000, NL,,,1990,16490,1,0.6,0
2000, NL,,,1990,16600,6,15.4,0
2000, NL,,,1990,16630,1,0.5,0
2000, NL,,,1990,18770,4,3.5,0
2100, NL,,,1990,   70,1,0.5,25
2100, NL,,,1990,   90,1,0.3,12
2100, NL,,,1990, 1730,2,3.8,75
2100, NL,,,1990, 1820,1,1.9,50
2100, NL,,,1990, 1840,1,0.3,12
2100, NL,,,1990, 1860,2,2.5,62
2100, NL,,,1990, 1940,1,0.4,12
2100, NL,,,1990, 3670,2,3.0,50
2100, NL,,,1990, 3940,5,19.5,100
2100, NL,,,1990, 4070,1,1.3,37
2100, NL,,,1990, 4240,1,1.6,50
2100, NL,,,1990, 4290,2,3.3,50
2100, NL,,,1990, 4500,3,7.4,75
2100, NL,,,1990, 4690,1,0.2,12
2100, NL,,,1990, 4930,1,0.7,25
2100, NL,,,1990, 5410,3,6.0,75
2100, NL,,,1990, 5820,1,2.2,12
2100, NL,,,1990, 5900,3,121.7,50
2100, NL,,,1990, 5910,7,482.4,12
2100, NL,,,1990, 5920,9,1241.0,50
2100, NL,,,1990, 6680,1,2.9,50
2100, NL,,,1990, 6700,5,30.2,71
2100, NL,,,1990, 6870,2,9.5,50
2100, NL,,,1990, 7240,4,5.6,100
2100, NL,,,1990, 7670,1,1.4,25
2100, NL,,,1990, 8560,1,0.3,12
2100, NL,,,1990, 9740,1,1.5,12
2100, NL,,,1990, 9760,3,12.4,75
2100, NL,,,1990, 9920,1,1.4,25
2100, NL,,,1990,10090,3,9.4,62
2100, NL,,,1990,10110,6,43.9,87
2100, NL,,,1990,10201,1,0.7,12
2100, NL,,,1990,10660,5,21.1,71
2100, NL,,,1990,10840,8,68.9,100
2100, NL,,,1990,10990,1,2.0,28
2100, NL,,,1990,11040,6,51.9,75
2100, NL,,,1990,11060,1,1.5,25
2100, NL,,,1990,11220,1,0.5,12
2100, NL,,,1990,11370,3,9.3,62
2100, NL,,,1990,11390,5,10.0,87
2100, NL,,,1990,11460,4,13.3,87
2100, NL,,,1990,11870,3,7.3,71
2100, NL,,,1990,12360,5,51.9,100
2100, NL,,,1990,12430,1,4.3,37
2100, NL,,,1990,12500,3,9.0,50
2100, NL,,,1990,12510,4,33.4,62
2100, NL,,,1990,12740,3,9.4,87
2100, NL,,,1990,12750,7,89.6,100
2100, NL,,,1990,12760,1,5.9,37
2100, NL,,,1990,12770,1,1.1,37
2100, NL,,,1990,13110,2,5.5,62
2100, NL,,,1990,13120,9,113.2,100
2100, NL,,,1990,14620,1,0.3,14
2100, NL,,,1990,14640,4,12.3,100
2100, NL,,,1990,15390,1,5.7,37
2100, NL,,,1990,15490,5,12.3,87
2100, NL,,,1990,15600,1,1.5,25
2100, NL,,,1990,15671,2,3.6,75
2100, NL,,,1990,15673,1,0.7,12
2100, NL,,,1990,15910,3,17.5,42
2100, NL,,,1990,15980,4,23.6,57
2100, NL,,,1990,16360,1,0.2,14
2100, NL,,,1990,16490,1,0.5,12
2100, NL,,,1990,16600,6,26.6,100
2100, NL,,,1990,16630,1,0.2,12
2100, NL,,,1990,17100,1,4.7,25
2100, NL,,,1990,18570,1,0.7,12
2100, NL,,,1990,18770,3,8.8,62
2200, NL,,,1990, 1730,6,8.8,70
2200, NL,,,1990, 1840,1,0.5,11
2200, NL,,,1990, 1860,5,5.4,66
2200, NL,,,1990, 1940,3,2.0,23
2200, NL,,,1990, 2060,6,11.3,5
2200, NL,,,1990, 2610,3,1.2,5
2200, NL,,,1990, 3940,6,12.3,93
2200, NL,,,1990, 4070,3,2.0,14
2200, NL,,,1990, 4240,2,1.0,29
2200, NL,,,1990, 4290,2,0.7,29
2200, NL,,,1990, 4500,8,55.4,64
2200, NL,,,1990, 4930,5,7.1,52
2200, NL,,,1990, 5410,5,5.6,70
2200, NL,,,1990, 5460,5,7.1,11
2200, NL,,,1990, 5820,1,0.5,8
2200, NL,,,1990, 6680,4,3.7,58
2200, NL,,,1990, 6700,2,0.7,90
2200, NL,,,1990, 7240,3,1.2,94
2200, NL,,,1990, 9760,5,5.4,36
2200, NL,,,1990,10090,1,0.2,82
2200, NL,,,1990,10110,7,25.2,67
2200, NL,,,1990,10201,2,0.7,21
2200, NL,,,1990,10660,4,2.7,87
2200, NL,,,1990,11370,4,2.2,38
2200, NL,,,1990,11390,1,0.2,61
2200, NL,,,1990,11460,3,1.7,70
2200, NL,,,1990,12360,4,2.7,76
2200, NL,,,1990,12590,1,0.2,2
2200, NL,,,1990,12750,4,2.2,97
2200, NL,,,1990,12760,3,1.2,50
2200, NL,,,1990,13120,6,15.4,96
2200, NL,,,1990,14640,1,0.2,87
2200, NL,,,1990,16360,1,0.2,37
2200, NL,,,1990,16600,4,2.9,91
2200, NL,,,1990,16630,1,0.5,26
2200, NL,,,1990,18770,5,4.9,47
2210, NL,,,1990,   70,1,1.1,8
2210, NL,,,1990, 1710,1,0.8,2
2210, NL,,,1990, 1730,3,5.9,70
2210, NL,,,1990, 1820,1,2.0,29
2210, NL,,,1990, 1860,3,11.2,66
2210, NL,,,1990, 1940,1,1.5,23
2210, NL,,,1990, 1980,1,1.6,17
2210, NL,,,1990, 2030,1,6.4,23
2210, NL,,,1990, 2060,3,25.8,5
2210, NL,,,1990, 2600,1,0.8,2
2210, NL,,,1990, 2610,1,0.4,5
2210, NL,,,1990, 3040,1,0.5,8
2210, NL,,,1990, 3670,3,6.8,55
2210, NL,,,1990, 3700,1,0.4,2
2210, NL,,,1990, 3940,5,21.4,93
2210, NL,,,1990, 4070,1,0.4,14
2210, NL,,,1990, 4240,1,2.2,29
2210, NL,,,1990, 4290,1,8.2,29
2210, NL,,,1990, 4500,4,46.9,64
2210, NL,,,1990, 4930,2,3.3,52
2210, NL,,,1990, 5290,1,2.0,29
2210, NL,,,1990, 5410,4,5.8,70
2210, NL,,,1990, 5460,1,2.3,11
2210, NL,,,1990, 5820,1,1.6,8
2210, NL,,,1990, 5900,5,119.3,23
2210, NL,,,1990, 5920,3,30.5,8
2210, NL,,,1990, 6680,2,3.0,58
2210, NL,,,1990, 6700,5,35.0,90
2210, NL,,,1990, 6840,1,2.5,14
2210, NL,,,1990, 6870,3,5.5,55
2210, NL,,,1990, 7240,4,11.4,94
2210, NL,,,1990, 7610,1,1.0,14
2210, NL,,,1990, 7670,1,0.7,20
2210, NL,,,1990, 8560,1,4.2,55
2210, NL,,,1990, 8630,1,1.0,8
2210, NL,,,1990, 8760,1,0.4,24
2210, NL,,,1990, 9740,1,2.3,41
2210, NL,,,1990, 9760,1,5.1,36
2210, NL,,,1990, 9920,1,4.9,12
2210, NL,,,1990,10010,1,1.1,3
2210, NL,,,1990,10090,4,21.8,82
2210, NL,,,1990,10110,4,21.4,67
2210, NL,,,1990,10171,1,0.4,3
2210, NL,,,1990,10201,1,0.7,21
